ID;Pitanje;Opcija A;Opcija B;Opcija C;Opcija D;Točan (0-3);URL slike;Objašnjenje;Semestar
33;Koliko protona ima atom s rednim brojem 6 (ugljik)?;3;6;12;1;1;;Redni (atomski) broj označava broj protona u jezgri.;1
34;Zbroj broja protona i neutrona u jezgri je:;Maseni broj;Atomski broj;Molarni broj;Gustoća;0;;Određuje masu cijelog atoma.;1
35;Tvari koje nastaju spajanjem atoma različitih elemenata su:;Izotopi;Kemijski spojevi;Smjese;Metali;1;;Imaju stalan sastav i svojstva.;1
36;Koji od navedenih elemenata je nemetal?;Željezo;Bakar;Sumpor;Zlato;2;;Sumpor je žuti nemetal.;1
37;Sastojci smjese koji se mogu razdvojiti magnetom moraju biti:;Samo metali (željezo, kobalt ili nikal);Plastika i guma;Sve tekućine;Staklo;0;;Magnet privlači feromagnetične tvari.;1
38;Što označava indeks u kemijskoj formuli (mali broj desno dolje)?;Broj atoma određenog elementa u molekuli;Broj molekula;Masu atoma;Temperaturu;0;;Npr. u H2O, broj 2 je indeks za vodik.;1
39;Što označava koeficijent (veliki broj ispred formule)?;Broj atoma u molekuli;Volumen tvari;Broj molekula ili formulskih jedinki;Gustoću;2;;Npr. 2 H2O označava dvije molekule vode.;1
40;Zrak je po sastavu:;Kemijski spoj;Homogena smjesa plinova;Heterogena smjesa;Elementarna tvar;1;;Sadrži najviše dušika (78%) i kisika (21%).;1
41;Što je difuzija?;Samovoljno miješanje čestica dviju tvari koje su u dodiru;Zamrzavanje vode;Padanje snijega;Kuhanje ručka;0;;Brža je u plinovima i tekućinama nego u čvrstim tvarima.;1
42;Koji element ima simbol 'Al'?;Argon;Aluminij;Antimon;Arsen;1;;Laki metal, srebrne boje.;1
43;Oznaka 'Ag' pripada:;Srebru;Bakru;Živi;Zlatu;0;;Simbol dolazi od latinskog Argentum.;1
44;Što su otopine u kojima se više ne može otopiti tvar na određenoj temperaturi?;Zasićene otopine;Nezasićene otopine;Prezasićene otopine;Vruće otopine;0;;Otopile su maksimalnu količinu tvari.;1
45;Odvajanje sastojaka na temelju različite brzine kretanja kroz podlogu je:;Filtracija;Kromatografija;Destilacija;Magnetno odvajanje;1;;Koristi se npr. za razdvajanje boja u flomasteru.;1
46;Kemijski simbol za helij je:;Hl;He;Hi;H;1;;Element s rednim brojem 2.;1
47;Ukupno atoma u molekuli sumporove kiseline (H2SO4)?;5;3;7;6;2;;2H + 1S + 4O = 7.;1
48;Što je gustoća tvari?;Tvrdoća tvari;Boja tvari;Omjer mase i volumena tvari;Težina predmeta;2;;Oznaka je grčko slovo ro (ρ).;1
49;Simbol 'Hg' označava koji jedini tekući metal na sobnoj temperaturi?;Srebro;Živu;Hidrauliku;Bakar;1;;Oprez, živine pare su otrovne!;1
50;Kako se naziva periodična tablica elemenata na kojoj su poredani atomi?;Tablica množenja;Periodni sustav elemenata (PSE);Menuerova tablica;Povijesna karta;1;;Sastavio ju je Mendeljejev.;1
51;Zakon o očuvanju mase: masa reaktanata je...;Uvijek veća od mase produkata;Uvijek manja od mase produkata;Jednaka masi produkata;Nema veze;2;;Masa se ne gubi, samo prelazi iz forme u formu.;2
52;Što su reaktanti u kemijskoj reakciji?;Tvari koje ulaze u reakciju;Tvari koje nastaju reakcijom;Samo metali;Nosači energije;0;;Reaktanti su "ulazni materijali".;2
53;Što su produkti u kemijskoj reakciji?;Katalizatori;Tvari koje nastaju reakcijom;Tvari koje ulaze u reakciju;Samo plinovi;1;;Produkti nastaju na kraju reakcije.;2
54;Kemijska jednadžba mora biti izjednačena jer:;Mora lijepo izgledati;Broj atoma svakog elementa mora biti isti s obje strane;Koeficijenti moraju biti 1;Indeksi moraju biti 2;1;;To je zakon prirode.;2
55;Tvari koje ubrzavaju kemijsku reakciju, a ne mijenjaju se?;Reaktanti;Produkti;Katalizatori;Ioni;2;;Katalizatori (enzimi) ubrzavaju procese.;2
56;Kemijska formula ugljikovog dioksida je:;C2O;CO2;CO;C2O2;1;;Nastaje potpunim sagorijevanjem ugljika.;2
57;Simbol 'Ca' označava :;Kalcij;Ugljik;Kalij;Kadmij;0;;Calcium, gradi naše kosti.;2
58;Simbol 'K' označava:;Kalij;Kalcij;Klor;Kobalt;0;;Kalium, važan elektrolit u tijelu.;2
59;Što su oksidi?;Spojevi klora i metala;Spojevi elemenata s kisikom;Samo tekućine;Mješavine ulja i vode;1;;Nastaju oksidacijom.;2
60;Koji je najčešći metal u Zemljinoj kori?;Željezo;Zlato;Bakar;Aluminij;3;;Aluminij je najobilniji metal.;2
61;Što je egzotermna reakcija?;Reakcija pri kojoj se toplina oslobađa u okolinu;Reakcija pri kojoj se sustav hladi;Reakcija koja ne mijenja energiju;Promjena stanja;0;;Oslobađa energiju (grije).;2
62;Što je endotermna reakcija?;Reakcija pri kojoj se toplina troši ili apsorbira;Reakcija pri kojoj se toplina oslobađa;Samo fizička promjena;Električni krug;0;;Upija energiju iz okoline (hladi).;2
63;Simbol 'Cl' označava:;Klor;Cink;Cezij;Kozmetiku;0;;Karakt. žuto-zeleni plin.;2
64;Simbol 'Mg' pripada kojem metalu?;Magneziju;Manganu;Molibdenu;Bakru;0;;Magnesium.;2
65;Koja je najvažnija ruda željeza?;Vapnenac;Magnetit;Kuhinjska sol;Aluminij;1;;Ruda iz koje vadimo sirovo željezo.;2
66;Što je hrđanje (korozija) željeza?;Kemijska reakcija željeza s kisikom i vlagom;Fizička promjena;Samo prljanje željeza;Isparavanje željeza;0;;Oksidacija željeza.;2
67;Koji plin podržava gorenje, ali sam ne gori?;Vodik;Dušik;Kisik;CO2;2;;Bez kisika nema vatre.;2
68;Simbol 'S' označava:;Srebro;Silicij;Sumpor;Natrij;2;;Sulphur, žuti mineral.;2
69;Oznaka 'Na' pripada:;Natriju;Dušiku;Neonu;Niklu;0;;Natrium, ključan za sol.;2
70;Što je maseni broj?;Redni broj u PSE;Zbroj protona i neutrona u jezgri;Samo broj neutrona;Relativna masa;1;;Ukupni broj čestica u jezgri atoma.;2
71;Relativna atomska masa (Ar) može se pronaći u:;Knjizi iz povijesti;Periodnom sustavu elemenata (PSE);U trgovini;Na vagi;1;;Navedena u tablici PSE.;2
72;Simbol 'P' označava:;Fosfor;Platinu;Paladij;Kalij;0;;Phosphorus.;2
73;Što je kristalizacija?;Nastajanje kristala iz otopine isparavanjem;Sagorijevanje soli;Prozirna boja;Mljevenje šećera;0;;Proces hlađenja ili isparavanja.;2
74;Koji metal ima simbol 'Zn'?;Cink;Zlato;Bakar;Živa;0;;Zincum.;2
75;Koja kiselina se nalazi u našem želucu?;Sumporna kiselina;Solna (klorovodična) kiselina;Octena kiselina;Limunska kiselina;1;;Pomaže u razgradnji proteina.;2
76;Simbol 'Pb' pripada kojem metalu?;Olovu;Bakru;Srebru;Kositru;0;;Plumbum.;2
77;Elementi s rednim brojevima u PSE poredani su po broju:;Protona;Neutrona;Elektrona u omotaču;Molekula;0;;Redni broj = broj protona po definiciji.;2
78;Horizontalni redovi u PSE zovu se:;Skupine;Redovi;Klanovi;Periodi;3;;Postoji ih ukupno 7.;2
79;Vertikalni stupci u PSE zovu se:;Periodi;Skupine;Zone;Redovi;1;;Ima ih 18 glavnih skupina.;1
80;Što su plemeniti plinovi?;Stabilni plinovi u 18. skupini koji rijetko reagiraju;Plinovi koji jako reagiraju;Samo kisik i dušik;Mirisni plinovi;0;;Helij, Neon, Argon...;1
81;Kemijski simbol za jod je:;Jo;I;Id;J;1;;Iodine.;2
82;Molekula amonijaka (NH3) sastoji se od koliko atoma?;2;4;3;5;1;;Jedan N i tri H.;2
83;Oznaka 'Sn' pripada:;Kositru;Srebru;Sumporu;Natriju;0;;Stannum.;2
84;Koji plin je lakši od zraka i služi za balone?;Kisik;CO2;Helij;Sumpor;2;;He je vrlo lagan i inertan plin.;2
85;Relativna molekulska masa (Mr) računa se kao:;Zbrajanjem Ar svih atoma u molekuli;Masa vage;Broj molekula;Volumen otopine;0;;Masa cijele molekulske jedinice.;2
86;Simbol 'Si' pripada:;Siliciju;Srebru;Sumporu;Željezu;0;;Silicium, važan za tehnologiju.;2
87;Što su izotopi?;Atomi istog elementa s različitim brojem neutrona;Različiti metali;Spojevi vode i ulja;Bakterije;0;;Različite mase istog kemijskog svojstva.;2
88;Kemijski simbol za magnezij je:;Mg;Ma;Mn;Mi;0;;Magnesium.;2
89;Produkt potpunog gorenja ugljika?;CO;CO2;Metan;H2O;1;;Ugljikov dioksid.;2
90;Koji je plin otrovan (nepotpuno gorenje)?;CO;CO2;Dušik;Kisik;0;;Ugljikov monoksid.;2
91;Gorenje je brza kemijska reakcija s:;Kisikom;Vodikom;Dušikom;Ugljikom;0;;Oksidacija visoke energije.;2
92;Koliko elektrona ima neutralni atom s 8 protona?;4;8;16;2;1;;Atom mora biti električki neutralan.;2
93;Atomska formula dvoatomne molekule klora?;2 Cl;Cl2;Cl^2;C-L;1;;Klor je uvijek vezan u paru.;2
94;Simbol 'He' označava:;Helij;Vodik;Željezo;Homer;0;;Prvi element plemenite skupine.;1
95;Maseni udio 20g tvari u 100g smjese?;0.2;0.1;5%;10%;0;;20 / 100.;1
96;Što dobijemo miješanjem bakra i cinka?;Mesing;Zlato;Broncu;Željezo;0;;Žuta legura mesing.;1
97;Kemija se razvila iz:;Alkemije;Biologije;Fizike;Povijesti;0;;Stara vještina transformacije tvari.;1
98;Simbol 'F' označava:;Fosfor;Fluor;Fiziku;Film;1;;Fluorum.;2
99;Oznaka '(aq)' znači:;Otopljena u vodi;Plinovita;Kruta;Vruća;0;;Aqua (voda).;2
100;Proučavanje kemije važno je jer:;Pomaže razumjeti građu i svojstva tvari;Pomaže raditi bombe;Pomaže raditi s kraljevima;Pomaže oko karata;0;;Temeljna znanost o materiji.;1
