ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
56	2	Marijanska pobožnost uključuje:	Samo jednu molitvu	Krunicu, litanije, Zdravo Marijo, mjesec svibanj	Samo ikone	Samo kipove	1	Marija — uzor vjere i poniznosti.
57	1	Pepelnica obilježava:	Kraj Korizme	Početak Korizme — pepeo na čelo	Početak Adventa	Kraj Adventa	1	'Sjeti se, čovječe, da si prah.'
58	1	Tijelovo je blagdan:	Isusovog rođenja	Tijela i Krvi Kristove (euharistiji)	Isusovog krštenja	Isusovog uskrsnuća	1	Procesija s monstrancijom — pokaznicu.
59	2	Velika Gospa je:	1. studenoga	15. kolovoza (Uznesenje Marijino)	25. prosinca	6. siječnja	1	Marija uznesena na nebo — velji kršćanski blagdan u Hrvatskoj.
60	2	Marija Bistrica je:	Samo selo	Najveće hodočasničko svetište u Hrvatskoj	Samo gradić	Samo park	1	Zagorje — čudotvorna Gospa Bistričin.
61	1	Hodočašćem:	Samo putujemo	Putujemo na sveta mjesta radi duhovnog rasta	Samo razgledavamo	Samo turistički	1	Rim, Lurd, Fatima, Jeruzalem, Marija Bistrica.
62	1	Milostinja je:	Samo novac	Darivanje siromašnima iz ljubavi	Samo za bogate	Samo obveza	1	Mt 6,3 — 'Neka ti lijeva ruka ne zna što čini desna.'
63	2	Post u kršćanstvu je:	Samo glad	Dobrovoljno odricanje hrane/comfort za duhovni rast	Samo dijeta	Samo za monah	1	Korizma, svaki petak, Pepelnica.
64	2	Kršćanski brak je:	Samo ugovor	Sakrament — savez ljubavi između muškarca i žene pred Bogom	Samo tradicija	Samo ceremonija	1	Nerazrješiv — do smrti.
65	1	Sveti red (ređenje) je:	Samo obred	Sakrament za đakone, svećenike i biskupe	Samo za biskupe	Samo za monoke	1	Posvećen život u službi Crkve.
66	1	Redovnici i redovnice:	Samo žive u samostanu	Posvećuju život Bogu — siromaštvo, čistoća, poslušnost	Samo mole	Samo predaju	1	Franjevci, dominikanci, benediktinci, karmelićanke...
67	2	Caritas je:	Samo organizacija	Crkvena humanitarna organizacija — ljubav u djelima	Samo za Božić	Samo za starije	1	Caritas = ljubav (lat.).
68	2	Sveti Ivan Bosco je zaštitnik:	Radnika	Mladeži (odgajao siromašnu djecu)	Vojnikla	Učimelja	1	Salezijanci — odgoj s ljubavlju, razumom i vjerom.
69	1	Sveti Leopold Mandić bio je:	Biskup	Kapucinski svećenik iz Padove (hrvatskog podrijetla) — ispovjednik	Vojnik	Učitelj	1	Sveti Leopold — rodom iz Herceg Novog.
70	1	Bl. Ivan Merz bio je:	Svećenik	Hrvatski laik i pedagog — prvi blaženik laik u Hrvatskoj	Vojnik	Političar	1	Orlovi — katolički mladenačko pokret.
71	2	Papa Ivan Pavao II. bio je:	Talijanski	Poljski papa — prvi ne-talijanski papa nakon 455 god.	Francuski	Španjolski	1	1978-2005 — sveti Ivan Pavao II.
72	2	Papa Franjo je:	Europski	Prvi papa iz Latinske Amerike (Argentini)	Afričke	Aziusem	1	Jorge Mario Bergoglio — od 2013.
73	1	Krizmanik/krizmanica prima:	Samo blagoslov	Sakrament potvrde (Krizme) — puninu Duha Svetoga	Samo kruh	Samo vodu	1	Biskup pomazuje krizmom — 'Primi pečat dara Duha Svetoga.'
74	1	Kum/kuma kod Krizme:	Samo svjedok	Duhovna podrška — pomaže u vjeri	Samo prijatelj	Samo rodbina	1	Uzor kršćanskog života.
75	2	Bolesničko pomazanje je:	Samo za umiruće	Sakrament za teško bolesne — Božja utjeha i snaga	Samo obred	Samo za starije	1	Jak 5,14-15 — pomazanje bolesniku.
76	2	Nebeski zaštimnik (patron) je:	Samo ime	Svetac čije ime nosimo i koji se za nas moli	Samo tradicija	Samo simbol	1	Imendan — dan svog zaštitnika.
77	1	Tabernakul je:	Samo ormsar	Sveto spremište za posvećene hostije (Presveti)	Samo ukras	Samo kutija	1	Crvena lampica — 'vječno svjetlo' — Isus je prisutan.
78	1	Što je hostija?	Samo kruh	Posvećeni kruh koji postaje Kristovo tijelo	Samo oblatna	Samo hrana	1	Transsubstanciacija — pretvorba.
79	2	Ministriranje je:	Samo stajanje	Služenje na oltaru — pomoć svećeniku pri misi	Samo držanje svijeća	Samo hodanje	1	Ministrant/ministrantica — aktivno sudjelovanje.
80	2	Zbor u crkvi:	Samo za ukras	Vodi pjevanje zajednice i uljepšava bogoslužje	Samo za božićni	Samo za vjenčanje	1	'Tko pjeva, dvostruko se moli' — sv. Augustin.
81	1	Što je evanđelist?	Samo propovjednik	Autor jednog od četiriju evanđelja	Samo misionar	Samo svetac	1	Matej, Marko, Luka, Ivan.
82	1	Simbol evanđelista Marka je:	Orao	Lav	Bik	Anđeo/čovjek	1	Markovo evanđelje — lav (glas u pustinji).
83	2	Simbol evanđelista Ivana je:	Lav	Bik	Orao	Anđeo/čovjek	2	Ivan — orao (duhovna visina teološke misli).
84	2	Simbol evanđelista Mateja je:	Lav	Orao	Bik	Anđeo/čovjek	3	Matej — anđeo/čovjek (rodoslovlje Isusovo).
85	1	Simbol evanđelista Luke je:	Lav	Orao	Bik	Anđeo/čovjek	2	Luka — bik (žrtva u hramu).
86	1	Kršćanin čuvta okoliš jer:	Samo iz zakona	Stvoreni svijet je Božji dar koji trebamo čuvati	Samo iz navike	Samo iz straha	1	Post 2,15 — 'Da ga obrađuje i čuva.'
87	2	Solidarnost znači:	Samo suosjećanje	Djelovanje za dobrobit drugih, posebno najpotrebitijih	Samo molitva	Samo riječi	1	Biti braća i sestre u Kristu.
88	2	Pravda i mir prema vjeri:	Nepovezani	Neodvojivi — nema mira bez pravednosti	Samo za politiku	Samo za rat	1	Iz 32,17 — 'Djelo pravednosti bit će mir.'
89	1	Sveto pismo čitamo:	Samo u crkvi	I osobno, i u zajednici — hrana za dušu	Samo na vjeronauku	Samo svećenici	1	Lectio divina — molitveno čitanje Biblije.
90	1	Isusov poziv učenicima bio je:	Samo 'Budi dobar'	'Pođi za mnom' — radikalna promjena života	Samo 'Čekaj'	Samo 'Ostani'	1	Mt 4,19 — 'Dođite za mnom.'
91	2	Isus je rekao: 'Ja sam kruh života' što znači:	Samo hranu	On je duhovna hrana — euharistija	Samo kruh	Samo metafora	1	Iv 6,35 — 'Tko k meni dolazi, neće nikada ogladnjeti.'
92	2	Isus je rekao: 'Ja sam trs, vi ste loze' što znači:	Samo o vinogradu	Da smo povezani s njim kao loze s trsom — bez njega ne možemo ništa	Samo o vinu	Samo o berbi	1	Iv 15,5 — zajedništvo s Kristom.
93	1	Vjeronauk u školi služi:	Samo za ocjenu	Za rast u vjeri, znanju i karakteru	Samo za tradiciju	Samo za roditelje	1	Odgoj cjelovite osobnosti.
94	1	Molitva zajednice:	Samo formalna	Jača zajedništvo i vjeru — zajedno pred Bogom	Samo u crkvi	Samo za svećenike	1	Mt 18,20 — 'Gdje su dvojica ili trojica sabrana u moje ime...'
95	2	Kršćansko ponašanje online:	Nema pravila	Poštuj, ne obzrnanji, budi istinit i dobar	Samo offline	Samo za odrasle	1	Zlatno pravilo vrijedi i na internetu.
96	2	Ljubav prema neprijatelju:	Nemoguća	Isus to traži — Mt 5,44 'Ljubite neprijatelje'	Samo za svece	Samo u teoriji	1	Najteža ali najsavršenija ljubav.
97	1	Zašto slavimo imendan?	Samo tradicija	Sjećamo se svog nebeskog zaštitnika i njegovog primjera	Samo za darove	Samo za slavlju	1	Ime svetca — uzor za život.
98	2	Kršćanski pogled na smrt:	Samo kraj	Prijelaz u vječni život s Bogom — nada u uskrsnuće	Samo strah	Samo tuga	1	Iv 11,25 — 'Ja sam uskrsnuće i život.'
99	1	Razlika između sažalivanja i suosjećaja:	Nema razlike	Suosjećaj uključuje djelovanje — pomoć, ne samo osjećaj	Samo u riječima	Samo u namjeri	1	Milosrdni Samarijanac — suosjećao i djelovao.
100	2	Vjeronauk u 6. razredu uči nas:	Samo činjenice	Rasti u vjeri, razumjeti Bibliju i živjeti kršćanske vrline	Samo pravila	Samo povijest	1	Vjera koja obogaćuje svakodnevni život!
