ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
21	1	Tin Ujević napisao je:	Zlatarovo zlato	Svakidašnju jadikovku	Antigonu	Susjedi	1	Jedan od najvećih hrvatskih pjesnika.
22	1	Miroslav Krleža je:	Srpski slikar	Najveći hrvatski pisac 20. st.	Njemački filozof	Talijanski glumac	1	Roman Povratak Filipa Latinovicza, dnevnici, eseji.
23	2	Zavisno složena rečenica sadrži:	Samo nezavisne surečenice	Glavnu i zavisnu surečenicu	Samo jednu surečenicu	Samo usklične rečenice	1	Zavisna ovisi o glavnoj.
24	2	Nezavisno složena rečenica sadrži:	Samo jednu surečenicu	Dvije ili više nezavisnih surečenica	Samo zavisne surečenice	Samo upitne surečenice	1	Npr. sastavne, rastavne, suprotne, zaključne, isključne.
25	2	Sastavna rečenica koristi veznike:	Ali, nego	I, pa, te, ni, niti	Ili, bilo	Dakle, stoga	1	Surečenice se nadovezuju.
26	2	Suprotna rečenica koristi veznike:	I, pa, te	Ali, no, nego, već, a	Ili, bilo	Dakle, stoga	1	Surečenice su u suprotnosti.
27	2	Rastavna rečenica koristi veznike:	I, pa	Ali, nego	Ili, bilo...bilo	Dakle	2	Jedna od mogućnosti se ostvaruje.
28	2	Zaključna rečenica koristi veznike:	I, pa	Ali, nego	Ili, bilo	Dakle, stoga, zato	3	Druga surečenica je zaključak prve.
29	2	Vremenska zavisna surečenica odgovara na pitanje:	Zašto?	Kako?	Kada?	Gdje?	2	Veznici: kad, dok, pošto, čim...
30	2	Uzročna zavisna surečenica odgovara na pitanje:	Kada?	Gdje?	Kako?	Zašto?	3	Veznici: jer, zato što, budući da...
31	2	Pogodbena (kondicionalna) rečenica koristi:	Jer	Kad	Ako, ukoliko	Gdje	2	Uvjet za ostvarenje radnje.
32	2	Namjerna (finalna) rečenica odgovara na:	Kada?	Zašto?	S kojom namjerom? Radi čega?	Gdje?	2	Veznici: da, kako bi...
33	1	Što je subjekt u rečenici?	Glagol	Vršitelj radnje — tko ili što?	Prilog	Prijedlog	1	Imenička skupina u nominativu.
34	1	Predikat je:	Imenica	Glagolski dio rečenice koji kaže što subjekt radi	Pridjev	Prilog	1	Bez predikata nema rečenice.
35	1	Objekt odgovara na pitanja:	Tko? Što? (nominativ)	Koga? Čega? Komu? Čemu? Koga? Što?	Kada? Gdje?	Kako?	1	Izravni (akuzativ) i neizravni (dativ, genitiv) objekt.
36	1	Priložna oznaka mjesta odgovara na:	Kada?	Kako?	Gdje? Kamo? Odakle?	Zašto?	2	Npr. 'U školi učimo.'
37	1	Priložna oznaka vremena odgovara na:	Gdje?	Kako?	Zašto?	Kada? Otkada? Dokada?	3	Npr. 'Jučer sam učio.'
38	1	Priložna oznaka načina odgovara na:	Gdje?	Kada?	Kako? Na koji način?	Zašto?	2	Npr. 'Govori tiho.'
39	2	Glagolski prilog sadašnji tvori se od:	Infinitiva	Osnove prezenta + -ći	Participa	Aorista	1	Npr. čitajući, pjevajući.
40	2	Glagolski prilog prošli tvori se od:	Prezenta	Infinitivne osnove + -vši ili -avši	Futura	Imperativa	1	Npr. pročitavši, napisavši.
41	2	Glagolski pridjev trpni koristi se za:	Aktivni oblik	Pasiv — tko trpi radnju	Budućnost	Zapovijedanje	1	Npr. 'Knjiga je pročitana.'
42	2	Glagolski pridjev radni koristi se za:	Pasiv	Tvorbu prošlih vremena (perfekt, pluskvamperfekt)	Tvorbu futura II.	Tvorbu imperativa	1	Npr. 'Bio sam', 'Pročitao je.'
43	1	Koliko padeža ima hrvatski jezik?	5	6	7	8	2	N, G, D, A, V, L, I.
44	1	Vokativ je padež za:	Subjekt	Objekt	Dozivanje	Mjesto	2	Npr. 'Ivane!', 'Majko!'
45	1	Lokativ odgovara na pitanja:	Tko? Što?	S kim? Čim?	O kome? O čemu? Gdje?	Koga? Čega?	2	Uvijek ide s prijedlogom (u, na, o, pri, prema).
46	1	Instrumental odgovara na pitanja:	Tko? Što?	S kim? S čim?	Koga? Čega?	O kome?	1	Sredstvo ili društvo.
47	2	Upravni govor je:	Prepričavanje nečijih riječi	Doslovno prenošenje nečijih riječi	Opis događaja	Samo naracija	1	Navodni znaci: 'Dolazim sutra', rekao je.
48	2	Neupravni govor je:	Doslovni citat	Prepričavanje nečijih riječi svojima	Samo dramski monolog	Samo poezija	1	Rekao je da dolazi sutra.
49	1	Objašnjavajući esej je:	Samo priča	Prozni tekst u kojem se objašnjava tema	Samo pjesma	Drama	1	Analiza, argumenti, zaključak.
50	1	Feljton je:	Znanstveni rad	Novinski članak laganijeg stila	Sudski dokument	Recept	1	Književno-publicistički žanr.
51	2	Prezent glagola 'ići' u 1. licu jednine je:	Idem	Iđem	Idam	Idim	0	Idem, ideš, ide, idemo, idete, idu.
52	2	Perfekt se tvori od:	Prezenta i infinitiva	Prezenta pomoćnog glagola 'biti' + glagolskog pridjeva radnog	Aorista + prezenta	Samo infinitiva	1	Npr. 'Ja sam čitao/čitala.'
53	2	Futur I. se tvori od:	Prezenta i perfekta	Prezenta ili kratkog oblika glagola 'htjeti' + infinitiva	Samo infinitiva	Samo prezenta	1	Npr. 'Ja ću čitati' ili 'Čitat ću.'
54	1	Što je pravopis?	Samo gramatika	Skup pravila o ispravnom pisanju	Samo rječnik	Samo izgovor	1	Veliko/malo slovo, zarezi, točke...
55	1	Veliko se slovo piše u:	Samo na početku rečenice	Na početku rečenice, za vlastita imena, nazive država	Nikada	Samo za imenice	1	Pravopisno pravilo.
56	2	Zarez se stavlja prije veznika:	I, pa, te	Ali, nego, već, no	Ni, niti	Dakle	1	Ispred suprotnih veznika.
57	2	Navodni znaci upotrebljavaju se za:	Samo naslove	Upravni govor, citate, nazive	Samo brojeve	Samo datume	1	„Hrvatski
58	1	Ivana Brlić-Mažuranić napisala je:	Prosjaka Luku	Priče iz davnine	Zlatarovo zlato	Svakidašnju jadikovku	1	Hrvatski Andersen.
59	1	Ranko Marinković poznati je po:	Romanu Kiklop	Slikarstvu	Glazbi	Sportu	0	Istaknuti hrvatski književnik 20. st.
60	1	Ivo Andrić dobio je Nobelovu nagradu za:	Fiziku	Mir	Književnost (Na Drini ćuprija)	Kemiju	2	1961. — jedini s prostora bivše Jugoslavije.
61	2	Atribut je:	Glagolska dopuna	Dodaja uz imenicu koji je pobliže određuje	Priložna oznaka	Subjekt	1	Npr. 'Lijepa kuća' — lijepa je atribut.
62	2	Apozicija je:	Glagol	Imenička dopuna koja pobliže označuje drugu imenicu	Prilog	Prijedlog	1	Npr. 'Zagreb, glavni grad Hrvatske, je lijep.'
63	1	Vrste riječi dijele se na:	Samo imenice i glagole	Promjenjive i nepromjenjive	Samo pridjeve i priloge	Samo veznike	1	Promjenjive: imenice, glagoli, pridjevi, zamjenice, brojevi.
64	1	Pridjevi se mogu stupnjevati u:	2 stupnja	3 stupnja (pozitiv, komparativ, superlativ)	4 stupnja	5 stupnjeva	1	Npr. lijep, ljepši, najljepši.
65	2	Složenica je:	Riječ bez prefiksa	Riječ nastala spajanjem dviju ili više osnova	Jednostavna riječ	Samo prijedlog	1	Npr. 'nogomet' = nogo + met.
66	2	Izvedenica je:	Jednostavna riječ	Riječ nastala dodavanjem prefiksa ili sufiksa	Složenica	Kratica	1	Npr. 'učitelj' = uč- + -itelj.
67	1	Koji je naglasak u hrvatskom standardnom jeziku?	Samo silazni	Kratkosilazni, kratkouzlazni, dugosilazni, dugouzlazni	Samo uzlazni	Nema naglaska	1	4 naglaska + zanaglasna duljina.
68	1	Književni (standardni) jezik je:	Samo dijalekt	Normirani oblik jezika za javnu uporabu	Samo sleng	Samo žargon	1	Temeljen na štokavskom narječju.
69	1	Tri hrvatska narječja su:	Srpski, bosanski, crnogorski	Štokavski, kajkavski, čakavski	Slavonski, dalmatinski, istarski	Zagrebački, splitski, riječki	1	Prema upitnoj zamjenici: što, kaj, ča.
70	1	Štokavsko narječje je temelj:	Kajkavskog standarda	Hrvatskog standardnog jezika	Čakavskog standarda	Nijednog standarda	1	Novoštokavska ikavica i ijekavica.
71	2	Kondicional I. (pogodbeni način) tvori se od:	Prezenta + infinitiva	Oblika glagola 'biti' (bih, bi, bi...) + glagolskog pridjeva radnog	Futura + perfekta	Samo imperativa	1	Npr. 'Ja bih čitao.'
72	2	Imperativ je:	Prošlo vrijeme	Zapovjedni način	Budućnost	Opisni oblik	1	Npr. 'Čitaj!', 'Pišite!'
73	2	Aorist je:	Buduće vrijeme	Jednostavno prošlo svršeno vrijeme	Sadašnje vrijeme	Zapovjedni način	1	Danas rijedak u govoru, ali postoji u književnosti.
74	2	Imperfekt je:	Buduće vrijeme	Sadašnje vrijeme	Prošlo nesvršeno vrijeme	Zapovjedni način	2	Također rijedak u suvremenom govoru.
75	1	Silvije Strahimir Kranjčević bio je:	Glazbenik	Pjesnik hrvatskog realizma i moderne	Slikar	Sportaš	1	Poznata pjesma: Radniku.
76	1	Dobriša Cesarić je napisao:	Zlatarovo zlato	Pjesmu 'Voćka poslije kiše'	Roman 'Kiklop'	Dramu 'Antigona'	1	Poznata lirska pjesma.
77	1	Slavko Kolar poznat je po:	Poeziji	Humorističnoj prozi — novele iz seoskog života	Drami	Esejima	1	Npr. 'Breza'.
78	2	Koji glagolski vid ima glagol 'pisati'?	Svršeni	Nesvršeni	Oba	Nijedan	1	Radnja traje. Svršeni par: napisati.
79	2	Koji glagolski vid ima glagol 'napisati'?	Nesvršeni	Svršeni	Oba	Nijedan	1	Radnja dovršena.
80	1	Autobiografija je:	Životopis druge osobe	Životopis koji piše sam autor o sebi	Roman	Novela	1	Auto = sam, bio = život, grafija = pisanje.
81	1	Biografija je:	Životopis koji piše sam autor	Životopis neke osobe koji piše netko drugi	Drama	Putopis	1	Bio = život, grafija = pisanje.
82	1	Putopis je:	Samo karta	Književno djelo koje opisuje putovanje	Samo fotografija	Drama	1	Npr. Matko Peić, Vjekoslav Majer.
83	2	Što je klauzula (zavisna surečenica)?	Nezavisna rečenica	Surečenica koja ne može stajati samostalno	Samo imenica	Samo glagol	1	Ovisi o glavnoj surečenici (matici).
84	2	Odnosna (relativna) rečenica uvodi se s:	Jer, zato	Koji, koja, koje, što, tko	Ako, ukoliko	I, pa, te	1	Pobliže određuje imenicu.
85	1	Tema književnog djela je:	Naslov	Središnja misao ili problem o kojem djelo govori	Autor	Godina izdanja	1	Može biti ljubav, rat, odrastanje...
86	1	Fabula je:	Opis likova	Kronološki slijed događaja u djelu	Samo uvod	Samo zaključak	1	Što se događa — redoslijed događaja.
87	1	Siže (sujet) je:	Isto što i fabula	Način na koji je fabula organizirana u djelu	Samo tema	Samo motiv	1	Autor može promijeniti redoslijed (flashback itd.).
88	1	Protagonist je:	Sporedni lik	Glavni lik u djelu	Autor	Čitatelja	1	Npr. Dora u Zlatarovo zlato.
89	1	Antagonist je:	Glavni lik	Lik koji se suprotstavlja protagonistu	Autor	Pripovjedač	1	Stvara sukob u radnji.
90	1	Pripovjedač u prvom licu koristi:	On/ona	Ja	Mi	Vi	1	Subjektivna perspektiva.
91	2	Vrsni (generički) maskulinum znači:	Ženski rod	Uporabu muškog roda za oba spola u općem značenju	Srednji rod	Množinski oblik	1	Npr. 'učenici' za učenike i učenice.
92	2	Sinonomi su:	Riječi suprotnog značenja	Riječi istog ili sličnog značenja	Višeznačne riječi	Istoznačnice	1	Npr. kuća = dom.
93	2	Antonimi su:	Riječi istog značenja	Riječi suprotnog značenja	Višeznačne riječi	Istopisnice	1	Npr. velik ≠ mali.
94	2	Homonimi su:	Riječi sličnog značenja	Riječi istog oblika ali različitog značenja	Sinonimi	Antonimi	1	Npr. 'luk' (oružje) i 'luk' (povrće).
95	1	Funkcija zareza u nabrajanju:	Nema funkcije	Odvaja dijelove nabrajanja	Završava rečenicu	Počinje rečenicu	1	Npr. 'Kupio sam kruh, mlijeko, jaja i sir.'
96	2	Stilski obilježen tekst koristi:	Samo neutralni jezik	Stilske figure, emocionalnu boju, subjektivnost	Samo brojeve	Samo činjenice	1	Književni i publicistički tekstovi.
97	2	Pismo prijatelju primjer je:	Službenog stila	Razgovornog (neformalnog) stila	Znanstvenog stila	Administrativnog stila	1	Neformalni ton, osobni sadržaj.
98	2	Službeni zahtjev primjer je:	Razgovornog stila	Administrativnog (uredskog) stila	Poezije	Novine	1	Formalni ton, jasna struktura.
99	1	Sažetak teksta treba:	Biti dulji od originala	Sadržavati ključne informacije u kraćem obliku	Biti potpuno isti	Ne sadržavati temu	1	Kratko, jasno, s glavnim idejama.
100	2	Hrvatski jezik uči nas:	Samo pravopis	Razumjeti književnost, pisati pravilno i izražavati se jasno	Samo gramatiku	Samo čitati	1	Jezik je temelj komunikacije i kulture!
