ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
15	1	LED je:	Vrsta baterije	Poluvodička dioda koja emitira svjetlost	Vrsta motora	Vrsta otpornika	1	Light Emitting Diode — štedljiva rasvjeta.
16	1	Tranzistor služi kao:	Samo otpornik	Pojačalo signala ili elektronički prekidač	Samo kondenzator	Samo dioda	1	Temelj moderne elektronike.
17	1	Dioda propušta struju:	U oba smjera	Samo u jednom smjeru	Ni u jednom	Samo izmjeničnu	1	Ispravlja izmjeničnu u istosmjernu struju.
18	1	Kondenzator služi za:	Samo zagrijavanje	Pohranu električne energije i filtriranje	Samo napajanje	Samo otpor	1	Farad (F) — jedinica kapacitivnosti.
19	2	Elektromotor pretvara:	Toplinsku u mehaničku	Električnu energiju u mehaničku	Mehaničku u električnu	Kemijsku u toplinsku	1	Primjena u uređajima, strojevima, vozilima.
20	2	Generator pretvara:	Električnu u mehaničku	Mehaničku energiju u električnu	Toplinsku u kemijsku	Svjetlosnu u toplinsku	1	Hidroelektrane, vjetroelektrane.
21	2	Transformator služi za:	Proizvodnju energije	Promjenu napona izmjenične struje	Pohranu energije	Mjerenje struje	1	Povišenje ili snizivanje napona.
22	2	Obnovljivi izvori energije uključuju:	Ugljen, naftu, plin	Sunce, vjetar, vodu, biomasu, geotermales	Nuklearnu energiju	Samo fosilna goriva	1	Održivi, čisti, obnovljivi.
23	2	Solarni panel (fotonaponski) pretvara:	Vjetar u struju	Sunčevu energiju u električnu	Vodu u struju	Toplinu u zvuk	1	Fotonaponski efekt — poluvodički.
24	2	Vjetroelektrana koristi:	Sunce	Energiju vjetra za proizvodnju električne energije	Ugljen	Nuklearnu energiju	1	Turbina s lopaticama — generator.
25	2	Energetska učinkovitost znači:	Trošiti više energije	Postići isti rezultat s manje energije	Samo ugasiti svjetlo	Samo kupiti novi uređaj	1	LED, izolacija, pametne kuće.
26	2	Energetski razred 'A+++' znači:	Najmanji učinkovitost	Najvišu energetsku učinkovitost	Prosječna potrošnja	Najveća potrošnja	1	Manji računi za struju, manje CO2.
27	1	Vodič je materijal koji:	Ne propušta struju	Dobro propušta električnu struju	Samo djelomično u vakuumu	Ne vodi toplinu	1	Bakar, aluminij, zlato — metali.
28	1	Izolator je materijal koji:	Dobro vodi struju	Ne propušta električnu struju	Vodi samo u vodi	Samo zagrijava	1	Plastika, guma, staklo, keramika.
29	1	Poluvodič je:	Samo izolator	Materijal koji vodi struju pod određenim uvjetima	Samo vodič	Samo metal	1	Silicij — temelj elektronike.
30	2	Plastika kao materijal:	Samo koristi se	Sintetički polimer — lagan, otporan, oblikovljiv	Samo za ambalažu	Samo za igračke	1	PET, PVC, PE, PP — recikliranje važno!
31	2	Recikliranje plastike:	Nije moguće	Smanjuje otpad i štedi resurse	Samo za papir	Samo za metal	1	PET boce → nove boce, tkanina.
32	2	3D tisak služi za:	Samo papir	Izradu trodimenzionalnih predmeta od različitih materijala	Samo fotografije	Samo tekst	1	Aditivna proizvodnja — sloj po sloj.
33	2	CAD (Computer-Aided Design) je:	Samo igra	Računalom potpomognuto projektiranje	Samo web stranica	Samo baza podataka	1	AutoCAD, SolidWorks, Fusion 360.
34	1	Tehnički crtež služi za:	Samo umjetnički izraz	Precizno prikazivanje oblika, dimenzija i materijala predmeta	Samo dekoraciju	Samo skiciranje	1	Standardizirane oznake i mjerila.
35	1	Mjerilo 1:100 znači:	100 puta uvećano	1 cm na crtežu = 100 cm u stvarnosti	1 m na crtežu = 100 m u stvarnosti	Bez mjerila	1	Umanjeni prikaz.
36	1	Mjerilo 2:1 znači:	Umanjeno	Uvećano (2× veće od stvarnosti)	Pravo mjerilo	Nemouguće	1	Za sitne dijelove.
37	1	Ortogonalna projekcija prikazuje predmet:	U perspektivi	S tri strane: nacrt, bokocrt, tlocrt	Iz jednog kuta	Samo u 3D	1	Standardni tehnički prikaz.
38	1	Nacrt prikazuje predmet:	Odozgo	Sprijeda	Sa strane	Straga	1	Glavni pogled — frontalni.
39	1	Tlocrt prikazuje predmet:	Sprijeda	Odozgo	Sa strane	Straga	1	Pogled odozgo — horizontalna proj.
40	1	Bokocrt prikazuje predmet:	Sprijeda	Odozgo	Sa strane (lijeva ili desna)	Straga	2	Bočni pogled — lateragna projekcija.
41	1	Pomično mjerilo (pomak) služi za:	Mjerenje temperature	Precizno mjerenje duljina, promjera i dubina	Mjerenje mase	Mjerenje napona	1	Nonijus — preciznost do 0,05 mm.
42	1	Kutomjer služi za:	Mjerenje duljine	Mjerenje kutova	Mjerenje mase	Mjerenje temperature	1	Stupnjevi (°).
43	2	CNC stroj je:	Ručni alat	Računalom upravljani stroj za preciznu obradu materijala	Samo za drvo	Samo za papir	1	Computer Numerical Control.
44	2	Robot u proizvodnji:	Zamjenjuje samo ljude	Automatizirani stroj za ponavljajuće ili opasne zadatke	Samo u filmovima	Samo igračka	1	Industrijska automatizacija.
45	2	IoT (Internet of Things) je:	Samo internet	Mreža povezanih uređaja koji komuniciraju putem interneta	Samo računala	Samo telefoni	1	Pametni dom, pametni sat, senzori.
46	2	Pametna kuća koristi:	Samo struju	Automatizaciju za upravljanje osvjetljenjem, grijanjem, sigurnošću	Samo internet	Samo kamere	1	Štedi energiju i povećava udobnost.
47	1	Lemljenje služi za:	Rezanje	Spajanje elektroničkih komponenti lemom (kositrom)	Bušenje	Brušenje	1	Lemilo + kositar — spoj na tiskanu pločicu.
48	1	Tiskana pločica (PCB) je:	Samo papir	Podloga za elektroničke komponente s vodljivim stazama	Samo plastika	Samo drvo	1	Printed Circuit Board.
49	1	Shema strujnog kruga prikazuje:	Samo fotografiju	Elektroničke komponente i njihove veze pomoću simbola	Samo tekst	Samo dimenzije	1	Standardizirani simboli za otpornike, kondenzatore, diode...
50	1	Multimetar služi za:	Samo napon	Mjerenje napona, struje, otpora i dr.	Samo struju	Samo otpor	1	Univerzalni mjerni instrument.
51	2	Arduino je:	Samo softver	Mikrokontolerska platforma za učenje elektronike i programiranja	Samo igra	Samo robot	1	Open-source — senzori, LED, motori.
52	2	Raspberry Pi je:	Samo igra	Mali jednokarnini računalo za učenje programiranja	Samo telefon	Samo tablet	1	Linux, Python, projekti — IoT.
53	2	Algoritam je:	Samo program	Niz koraka za rješavanje problema	Samo hardver	Samo igra	1	Temelj svakog programa.
54	2	Programiranje je:	Samo pisanje teksta	Pisanje uputa (koda) koje računalo izvršava	Samo igranje	Samo crtanje	1	Python, JavaScript, C++ — programski jezici.
55	2	HTML služi za:	Programiranje igara	Strukturiranje sadržaja web stranica	Uređivanje fotografija	Pisanje e-maile	1	HyperText Markup Language.
56	2	CSS služi za:	Programske logike	Stiliziranje izgleda web stranica (boje, fontovi, raspored)	Bazy podataka	Samo animacije	1	Cascading Style Sheets.
57	2	JavaScript služi za:	Samo dizajn	Interaktivnost i dinamiku na web stranicama	Samo baze podataka	Samo CSS	1	Najpopularniji programski jezik weba.
58	1	Drvo kao materijal u tehnici:	Samo za ogrjev	Obnovljiv, lagan, lako obradiv konstrukcijski materijal	Samo za papir	Samo za namještaj	1	Tvrdo drvo (hrast) vs meko drvo (bor).
59	1	Metal kao materijal u tehnici:	Samo za nakit	Čvrst, trajan, vodljiv za topli nu i struju	Samo za ambalažu	Samo za oružje	1	Čelik, aluminij, bakar — svugdje u tehnici.
60	1	Čelik je:	Čisti metal	Legura željeza i ugljika	Plastika	Keramika	1	Najvažniji konstrukcijski metal.
61	1	Ručna pila služi za:	Bušelje	Rezanje materijala (drvo, metal, plastika)	Brušenje	Lemljenje	1	Lučna pila, pila za drvo.
62	1	Svrdlo (bušilica) služi za:	Rezanje	Bušenje rupa u materijalu	Lemljenje	Brušenje	1	Ručna ili stolna bušilica.
63	1	Turpija služi za:	Rezanje	Brušenje i oblikovanje metala, drva, plastike	Bušenje	Lemljenje	1	Ravna, okrugla, trokutasta — za fino oblikovanje.
64	1	Škripac služi za:	Rezanje	Stezanje i držanje obratka tijekom obrade	Bušenje	Lemljenje	1	Stolarski i bravarski škripac.
65	2	Energija se ne može:	Pretvarati	Stvoriti niti uništiti, samo pretvoriti u drugi oblik	Mjeriti	Koristiti	1	Zakon očuvanja energije.
66	2	Nuklearna elektrana koristi:	Fosilna goriva	Nuklearnu fisiju (cijepanje) za proizvodnju energije	Vjetar	Sunce	1	Uran → toplina → para → turbina → generator.
67	2	Hidroelektrana koristi:	Vjetar	Energiju padajuće vode za pokretanje turbine	Sunce	Ugljen	1	Hrvatska — npr. HE Zakučac.
68	2	Fosilna goriva uključuju:	Sunce i vjetar	Ugljen, naftu i prirodni plin	Biomasu	Geotermalu	1	Neobnovljivi — zagađuju atmosferu CO2.
69	2	Staklenički efekt je:	Samo pozitivan	Zagrijavanje atmosfere usljed zadržavanja topline	Samo negativan	Ne postoji	1	CO2, metan, N2O — staklenički plinovi.
70	2	Električni automobil pokreće:	Benzinski motor	Elektromotor napajan baterijom	Parni stroj	Reaktivni motor	1	Tesla, Rimac — ekološki prijevoz.
71	1	Sigurnosna pravila u radionici uključuju:	Samo čistoću	Zaštitne naočale, rukavice, ispravne alate, red	Samo oprez	Samo brzinu	1	Osobna zaštitna oprema obvezna!
72	1	Zaštita na radu znači:	Samo raditi brzo	Sprječavanje ozljede pri radu s alatima i strojevima	Samo nositi rukavice	Samo čistiti	1	Prevencija, edukacija, oprema.
73	1	Tolerancija mjere u tehničkom crtežu je:	Točna mjera	Dopušteno odstupanje od zadane mjere	Samo za drvo	Samo za metal	1	± mm — kontrola kvalitete.
74	1	Šarki služe za:	Spajanje žicama	Okretno spajanje dviju površina (vrata, poklopac)	Bušenje	Rezanje	1	Mehanizam za otvaranje/zatvaranje.
75	2	Kružno gospodarstvo (circular economy) znači:	Linearna proizvodnja	Recikliranje, ponovna uporaba, smanjenje otpada	Samo spalionije	Samo odlaganje	1	Reduce, Reuse, Recycle.
76	2	Kompozitni materijali su:	Samo metal	Kombinirani materijali — bolja svojstva od pojedinačnih	Samo plastika	Samo drvo	1	Ugljična vlakna, fiberglas, armireni beton.
77	2	Ugljična vlakna (carbon fiber) su:	Teška	Lagana, čvrsta i otporna — za sport, aute, zrakoplove	Samo za odjeću	Samo za papir	1	Rimac Nevera — ugljična vlakna.
78	1	Vijak i matica su:	Samo ukras	Rastavljivi spoj za mehaničko spajanje dijelova	Samo za drvo	Samo za metal	1	M4, M6, M8 — metrički narezni vijci.
79	1	Zavarivanje je:	Rastavljiv spoj	Nerastavljivo spajanje metala toplinom	Lijepljenje	Lemljenje	1	MIG, TIG, REL — vrste zavarivanja.
80	2	Automatizacija u industriji znači:	Samo ručni rad	Korištenje strojeva i sustava za automatsko izvođenje procesa	Samo kontrola	Samo nadzor	1	Industija 4.0 — pametne tvornice.
81	1	Građevinski materijali uključuju:	Samo drvo	Beton, cigla, čelik, drvo, staklo, kamena	Samo beton	Samo metal	1	Različiti materijali za različite namjene.
82	1	Beton se sastoji od:	Samo cementa	Cementa, vode, pijeska i šljunka	Samo pijeska	Samo vode	1	Armirani beton = beton + čelična armatura.
83	2	Lasersko rezanje je:	Ručno rezanje	Precizno rezanje materijala koncentriranom svjetlošću	Samo za papir	Samo za tkaninu	1	Metal, drvo, plastika — visoka preciznost.
84	2	Nanotehnologija radi s materijalom na:	Metrima	Nanometarskoj skali (10^-9 m)	Kilometarskoj skali	Centimetarskoj skali	1	Novi materijali s posebniim svojstvima.
85	1	Ergonomija proučava:	Samo dizajn	Prilagodbu proizvoda i prostora čovjeku za udobnost i učinkovitost	Samo boje	Samo zvuk	1	Ergonomski stolac, tipkovnica, alat.
86	1	Toplinska izolacija služi za:	Pojačavanje topline	Smanjenje gubitka topline u zgradama	Povećanje potrošnje	Samo dekoraciju	1	Stiropor, kamena vuna — energetska učinkovitost.
87	2	Električna instalacija u kući uključuje:	Samo žice	Vodove, utičnice, prekidače, osigurače, razvodnu ploču	Samo prekidače	Samo lampe	1	Stručna instalacija — sigurnost!
88	2	Vodoinstalacija u kući je:	Samo cijev	Sustav cijevi za dovod čiste i odvod otpadne vode	Samo slavina	Samo wc	1	Plombirane cijevi, ventili, sifoni.
89	1	Dimenzioniranje u tehničkom crtežu:	Samo ukras	Označavanje mjerâ i dimenzija predmeta	Samo boje	Samo linije	1	Kotne linije i kotne strelice.
90	1	Presjek u tehničkom crtežu prikazuje:	Samo vanjski izgled	Unutrašnjost predmeta (šrafura presjeka)	Samo boju	Samo veličinu	1	Šrafura označava materijal u presjeku.
91	2	Dron (bespilotna letjelica) koristi se za:	Samo igru	Fotografiju, transport, poljoprivredu, nadzor	Samo u vojsci	Samo u sportu	1	Multifunkcionalne primjene.
92	2	Senzor je:	Samo prekidač	Uređaj koji detektira fizičku veličinu i pretvara je u signal	Samo lampa	Samo motor	1	Temp., svjetlo, pokret, zvuk — ulaz za sustave.
93	2	Aktuator je:	Samo senzor	Uređaj koji izvršava radnju (motor, ventil, grijač)	Samo prekidač	Samo mjerilo	1	Izlaz sustava — fizička akcija.
94	1	Pneumatika koristi:	Tekućinu	Stlačeni zrak za prije nos energije i pokret	Samo elektriku	Samo magnetizam	1	Pneumatski cilindri, ventili.
95	1	Hidraulika koristi:	Zrak	Tekućinu (ulje) pod tlakom za prijenos energije	Samo struju	Samo magnetizam	1	Hidraulična preša, dizalica.
96	2	Električna energija prijenosi se do kućanstava putem:	Samo baterija	Elektriène mreže (dalekovodi, trafostanice, distribucija)	Samo solarno	Samo generatora	1	Visokonaponski dalekovodi → trafostanice → 230V.
97	2	Rimac Automobili je:	Samo iz Njemačke	Hrvatska tvrtka za električne superautomobile	Samo iz SAD-a	Samo iz Japana	1	Nevera — jedan od najbržih e-auta na svijetu.
98	2	STEM obrazovanje uključuje:	Samo matematiku	Science, Technology, Engineering, Mathematics	Samo tehnologiju	Samo znanost	1	Interdisciplinarni pristup učenju.
99	1	Sigurnosni znakovi u radionici:	Samo za ukras	Upozoravaju na opasnosti i označavaju pravila ponašanja	Samo za promet	Samo za školu	1	Žuti trokut = upozorenje, crveni krug = zabrana.
100	2	Tehnička kultura pomaže:	Samo za ocjene	Razumjeti tehnologiju, razviti vještine i kreativno rješavati probleme	Samo za zabavu	Nema koristi	1	Priprema za suvremeni tehnološki svijet!
