ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
90	2	Južnoafrička Republika je poznata kao:	Država duginih boja (Rainbow Nation)	Ledena zemlja	Pustinjska država	Otočna država	0	Raznolikost naroda i kultura.
91	1	Koraljni grebeni ugroženi su zbog:	Previše riba	Zagrijavanja oceana i zakiseljavanja	Previše vode	Previše soli	1	Izbjeljuju i umiru.
92	1	Vodni otisak (water footprint) je:	Oblik vode	Ukupna potrošnja vode za proizvodnju dobara	Samo pitkha voda	Samo industrijska voda	1	Npr. 1 kg mesa troši više vode od 1 kg povrća.
93	2	Skandinavija uključuje:	Španjolsku i Portugal	Švajcarsku i Austriju	Norvešku, Švedsku i Dansku	Grčku i Tursku	2	Sjevernoeuropske države.
94	2	Beneluks čine:	Belgija, Nizozemska, Luksemburg	Njemačka, Austrija, Švicarska	Francuska, Italija, Španjolska	Norveška, Finska, Švedska	0	BE-NE-LUX — naziv od prvih slova.
95	2	Balkanski poluotok uključuje:	Skandinavske zemlje	Iberske zemlje	Hrvatsku, Srbiju, BiH, Crnu Goru, Sjevernu Makedoniju, Albaniju, Bugjarsku, Grčku	Baltičke zemlje	2	Jugoistočna Europa.
96	1	Energetska tranzicija znači:	Više ugljena	Prijelaz s fosilnih goriva na obnovljive izvore energije	Samo nuklearna energija	Manje energije	1	Za smanjenje emisija CO2.
97	2	Svila put bio je:	Pomorska ruta	Drevna trgovačka ruta između Europe i Azije	Moderna autocesta	Samo lokalni put	1	Povezivala Kinu s Rimskim Carstvom.
98	2	UN (Ujedinjeni narodi) ima sjedište u:	Ženevi	New Yorku	Londonu	Parizu	1	Osnovani 1945., cilj: mir i suradnja.
99	1	Razlika između vremena i klime je:	Nema razlike	Vrijeme je stanje atmosfere u kratkom razdoblju, klima dugoročni prosjek	Klima je kratkoročna	Vrijeme je dugoročno	1	Klima = prosjek vremena kroz 30+ godina.
100	2	Geografija 8. razreda uči nas:	Samo o karti	O svijetu — državama, klimi, gospodarstvu i ljudima	Samo o Hrvatskoj	Samo o Europi	1	Od lokalne do globalne razine — razumijemo svoj svijet!
