ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
79	1	Tanko crijevo služi za:	Samo skladištenje	Apsorpciju hranjivih tvari	Samo izlučivanje	Disanje	1	Crijevne resice povećavaju površinu apsorpcije.
80	1	Debelo crijevo služi za:	Probavu proteina	Apsorpciju vode i formiranje stolice	Proizvodnju enzima	Filtraciju krvi	1	Bakterije u debelom crijevu pomažu probavi.
81	1	Jetra obavlja:	Samo pohranu glikogena	Mnoge funkcije: detoksikacija, proizvodnja žuči, metabolizam	Samo filtraciju krvi	Samo probavu masti	1	Najveća žlijezda u tijelu.
82	1	Bubrezi služe za:	Probavu	Filtriranje krvi i stvaranje urina	Disanje	Kretanje	1	Odstranjuju otpadne tvari iz krvi.
83	1	Nefron je:	Vrsta živca	Funkcionalna jedinica bubrega	Vrsta hormona	Vrsta kosti	1	Svaki bubreg ima oko milijun nefrona.
84	2	Imunitet je:	Samo naslijeđen	Sposobnost organizma da se obrani od bolesti	Samo stečen	Vrsta alergije	1	Urođeni i stečeni imunitet.
85	2	Cjepivo (vakcina) sadrži:	Žive opasne bakterije	Oslabljene ili mrtve uzročnike bolesti	Antibiotike	Vitamine	1	Stimulira imunološki sustav da stvori protutijela.
86	2	Antitijela proizvode:	Eritrociti	Trombociti	Limfociti (B-stanice)	Neuroni	2	Specifično se vežu na antigene.
87	2	Alergija je:	Normalan imunološki odgovor	Pretjerana reakcija imunološkog sustava na bezopasne tvari	Bakterijska infekcija	Virusna bolest	1	Npr. pelud, kikiriki, grinje.
88	2	Virusi se razmnožavaju:	Samostalno u okolišu	Samo unutar živih stanica domaćina	U vodi	U tlu	1	Nemaju vlastiti metabolizam.
89	2	Antibiotici djeluju na:	Viruse	Gljive	Bakterije	Alergije	2	Ne djeluju na viruse!
90	2	Rezistencija bakterija na antibiotike znači:	Bakterije postaju osjetljivije	Bakterije razvijaju otpornost na antibiotike	Antibiotici jačaju	Bakterije nestaju	1	Prekomjerna upotreba antibiotika ubrzava rezistenciju.
91	2	Homologni kromosomi su:	Isti kromosomi	Par kromosoma — jedan od majke, jedan od oca	Spolni kromosomi	Samo X kromosomi	1	Nose gene za ista svojstva.
92	2	Crossing over se događa tijekom:	Mitoze	Mejoze	Oplodnje	Rasta	1	Razmjena dijelova kromosoma povećava varijabilnost.
93	2	Kloniranje znači:	Spolno razmnožavanje	Stvaranje genetski identičnog organizma	Mutacija	Križanje	1	Npr. ovca Dolly.
94	2	GMO znači:	Globalni mobilni organizam	Genetski modificirani organizam	Geografski mapirani objekt	グenerator mikro organizma	1	Organizmi čija je DNA izmijenjena.
95	2	Simboza je:	Parazitizam	Obostrano korisna zajednica dvaju organizama	Kompeticija	Predacija	1	Npr. lišajevi (gljiva + alga).
96	2	Parazitizam je:	Obostrana korist	Jedan organizam koristi drugog na njegovu štetu	Živi slobodno	Kompeticija	1	Npr. gliste u crijevima.
97	2	Evolucija je:	Samo teorija bez dokaza	Promjena populacija kroz generacije prirodnom selekcijom	Samo kod ljudi	Samo kod bakterija	1	Darwin — prirodna selekcija.
98	2	Adaptacija znači:	Izumiranje	Prilagodba organizma na okolinu	Mutacija	Kloniranje	1	Organizmi koji su bolje prilagođeni imaju veću šansu za opstanak.
99	2	Osim genetike, na fenotip utječe i:	Ništa drugo	Okoliš (prehrana, sunce, vježba itd.)	Samo slučajnost	Samo boja kose	1	Fenotip = genotip + okoliš.
100	2	Biologija 8. razreda uči nas o:	Samo biljkama	Samo životinjama	Cijeli se čovjek — organizam, genetika, ekologija	Samo kemiji	2	Od živčanog sustava do ekologije — upoznajemo sebe i svijet!
