ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
22	2	Opća deklaracija o ljudskim pravima (1948):	Samo za Europu	Univerzalni dokument — svi imaju jednaka prava	Samo za SAD	Samo za bogate	1	UN — 30 članaka o temeljnim pravima.
23	2	Kršćanin i politika:	Nikad se ne miješa	Treba se zauzimati za opće dobro i pravednost u društvu	Samo osobno	Samo u crkvi	1	Socijalni nauk: aktivno građansko sudjelovanje.
24	1	Krepost je:	Samo navika	Stalna i čvrsta sklonost činiti dobro	Samo želja	Samo namjera	1	Bogoslovne: vjera, nada, ljubav. Stožerne: razboritost, pravednost, jakost, umjerenost.
25	1	Stožerne kreposti su:	Vjera, nada, ljubav	Razboritost, pravednost, jakost, umjerenost	Samo ljubav	Samo vjera	1	Temelj moralnog života — iz filozofije i vjere.
26	2	Bogoslovne kreposti:	3 stožerne	Vjera, nada i ljubav — dar od Boga	Samo razboritost	Samo ljubav	1	1 Kor 13,13 — 'A najveća je ljubav.'
27	2	Glavni (smrtni) grijesi su:	3	7: oholost, lakomnost, bludnost, zavist, neumjerenost, gnjev, lijenost	5	10	1	Njihova suprotnost su vrline.
28	1	Oholost kao grijeh:	Samo ponos	Pretjerano uzdizanje sebe iznad drugih i Boga	Samo ambicija	Samo samopouzdanje	1	Lucifer — 'Bit ću kao Bog.'
29	1	Poniznost je:	Slabost	Istinsko prepoznavanje vlastitih granica pred Bogom	Samo strah	Samo nesigurnost	1	Marija: 'Evo službenice Gospodnje' (Lk 1,38).
30	2	Slobodna volja znači:	Činiti što hoću	Sposobnost izbora između dobra i zla — odgovornost	Nema granica	Samo za odrasl	1	Bog nas je stvorio slobodnima — i odgovornima.
31	1	Istočni grijeh je:	Samo Adamov grijeh	Stanje grešnosti naslijeđeno od prvih ljudi	Samo legenda	Samo priča	1	Post 3 — neposlušnost u Edenskom vrtu. Krštenje ga briše.
32	1	Spasenje u kršćanstvu dolazi:	Samo od dobrih djela	Milošću Božjom po Isusu Kristu i vjeri	Samo znanjem	Samo poslušnošću	1	Ef 2,8 — 'Ta milošću ste spašeni po vjeri.'
33	2	Eshatologija proučava:	Samo prošlost	Posljednje stvari: smrt, sud, raj, čistilište, pakao	Samo sadašnjost	Samo budućnost	1	Kršćanska nada u vječni život.
34	2	Raj je prema vjeri:	Samo mit	Vječno zajedništvo s Bogom u punom blaženstvu	Samo san	Samo zemlja	1	Otk 21,4 — 'Otrt će Bog svaku suzu.'
35	2	Čistilište je prema katoličkom nauku:	Pakao	Proces pročišćenja duše prije ulaska u raj	Raj	Samo zemlja	1	Molitva za pokojne — pomažemo im.
36	1	Kršćanstvo je nastalo u:	Rimu	Palestini (1. stoljeće)	Grčkoj	Egiptu	1	Iz židovstva — Isus, apostoli, Jeruzalem.
37	1	Rimsko Carstvo u početku je:	Podržavalo kršćane	Proganjalo kršćane (do 313. — Milanski edikt)	Ignoriralo	Podržavalo od poče	1	Neron, Dioklecijan — mučenici.
38	1	Milanski edikt (313.) donio je:	Zabranu kršćanstva	Slobodu vjeroispovijedi za kršćane	Ništa novo	Samo za pogane	1	Car Konstantin — kršćanstvo postaje dopušteno.
39	2	Veliki raskol (1054.) podijelio je:	Samo politiku	Zapadnu (Katoličku) i Istočnu (Pravoslavnu) Crkvu	Samo zemlju	Samo jezik	1	Papa vs. Caringradski patrijarh.
40	2	Reformacija (16. st.) pokrenuta je od:	Pape	Martina Luthera	Sv. Franje	Sv. Benedikta	1	95 teza (1517) — protestantizam.
41	2	Protureformacija (Katolička obnova) je:	Ista kao Reformacija	Odgovor Katoličke crkve na Reformaciju — Tridentski koncil	Samo politika	Samo rat	1	Tridentski koncil (1545-1563).
42	1	Sinodalnost znači:	Samo odluke pape	Zajednički put — svi vjernici sudjeluju u životu Crkve	Samo za biskupe	Samo za svećenike	1	Papa Franjo — sinodalna Crkva.
43	1	Inkultivacija znači:	Samo prilagodba	Prenošenje Evanđelja u razne kulture poštujući njihove vrednote	Samo prevođenje	Samo kopiranje	1	Evanđelje ne uništava kulturu, obogaćuje je.
44	2	Misije u kršćanstvu:	Samo kolonizacija	Slanje misionara da navijeste Evanđelje diljem svijeta	Samo za Afriku	Samo za Aziju	1	Mt 28,19 — 'Idite po svem svijetu.'
45	2	Interreligijski dijalog s islamom:	Nepotreban	Važan za mir i razumijevanje — zajednički abraham korijen	Samo za teologe	Samo za političare	1	Nostra aetate — II. vatikanski koncil.
46	1	Kršćanstvo i znanost:	Uvijek u sukobu	Mogu surađivati — vjera i razum se nadopunjuju	Samo sukob	Samo vjera	1	Mnogi veliki znanstvenici bili su vjernici.
47	1	Goerges Lemaître bio je:	Samo svećenik	Belgijski svećenik i fizičar — predložio teoriju Velikog praska	Samo fizičar	Samo matematičar	1	Vjera i znanost — nisu u suprotnosti.
48	2	Bioetika proučava:	Samo biologiju	Etička pitanja vezana uz život (kloniranje, eutanazija, genetika)	Samo kemiju	Samo medicinu	1	Crkva brani dostojanstvo života od začeća do smrti.
49	2	Poštivanje života od začeća do prirodne smrti:	Samo za neke	Temeljno načelo katoličke bioetike	Samo za životinje	Samo za biljke	1	'Svetost života' — nepovredivo ljudsko dostojanstvo.
50	1	Dijalog između vjere i kulture:	Nepotreban	Obogaćuje obje strane — vjera inspirira kulturu	Samo za umjetnike	Samo za teologe	1	Katedrala, Michelangelo, Bach — vjera u kulturi.
51	1	Crkva i siromaštvo:	Samo za bogate	Opcija za siromašne — posebna briga za najslabije	Samo za svećenike	Samo za redovnike	1	Papa Franjo: 'Siromašna Crkva za siromašne.'
52	2	Globalizacija prema socijalnom nauku Crkve:	Samo loša	Može biti dobra ako služi svima, ne samo bogatima	Samo dobra	Samo za elitu	1	Solidarnost u globalnom svijetu.
53	2	Migranti i izbjeglice prema vjeri:	Ne tiče nas se	Zaslužuju gostoprimstvo, zaštitu i pomoć	Samo za vladu	Samo za NGO-e	1	Mt 25,35 — 'Bio sam stranac i primiste me.'
54	1	Molitva zahvale:	Samo za hranu	Izraz zahvalnosti Bogu za sve darove života	Samo za zdravlje	Samo za bogatstvo	1	'Zahvaljujte u svemu' (1 Sol 5,18).
55	1	Molitva prošnje:	Samo traženje	Iznošenje naših potreba Bogu s povjerenjem	Samo za sebe	Samo za materijalno	1	Mt 7,7 — 'Ištite i dat će vam se.'
56	2	Zagovorničke molitva:	Samo za sebe	Molimo se za druge ljude i njihove potrebe	Samo za svece	Samo za svećenike	1	Moliti za bolesne, unesrećene, svijet — kršćanska dužnost.
57	2	Kršćanska nada:	Samo optimizam	Pouzdanje u Božja obećanja unatoč poteškoćama	Samo želja	Samo mašta	1	Rim 8,28 — 'Bog u svemu surađuje na dobro.'
58	1	Taizé zajednica je:	Samo samostan	Ekumenska zajednica u Francuskoj — molitva, mir, pomirenje	Samo zajednica	Samo pokret	1	Brat Roger — mladi hodočasnici iz cijelog svijeta.
59	1	Svjetski dan mladih (WYD):	Samo festival	Susret mladih sa papom za rast u vjeri	Samo koncert	Samo putovanje	1	Ivan Pavao II. pokrenuo 1986.
60	2	Duhovne vježbe sv. Ignacija:	Samo fizičke vježbe	Metoda za dublji susret s Bogom — razlučivanje	Samo za svećenike	Samo za redovnike	1	30-dnovne ili vikend duhovne vježbe.
61	1	Sveti Ivan Krstitelj je:	Samo svetac	Preteća Isusov — krstio Isusa u Jordanu	Samo prorok	Samo apostol	1	'Pripravite put Gospodnji' (Mt 3,3).
62	1	Knjiga Otkrivenja (Apokalipsa):	Samo horor	Posljednja knjiga Biblije — vizija konačne pobjede dobra	Samo proroštvo	Samo mit	1	Sv. Ivan — simbolički jezik, nada u novi Jeruzalem.
63	2	Novi Jeruzalem u Otkrivenju simbolizira:	Samo grad	Vječni raj — novo nebo i nova zemlja	Samo Jeruzalem	Samo crkvu	1	Otk 21,2 — 'Novi Jeruzalem silazi s neba.'
64	2	Mudrosna literatura Biblije uključuje:	Samo Evanđelja	Knjigu Mudrosti, Sirahova, Izreke, Job, Propovjednik	Samo Psalme	Samo Postaanak	1	Praktična mudrost za svakodnevni život.
65	1	Knjiga o Jobu govori o:	Samo o bogatstvu	Pitanju patnje pravednika i vjere unatoč boli	Samo o zdravlju	Samo o sreći	1	Zašto patimo? — duboko pitanje vjere.
66	1	Patnja u kršćanstvu:	Samo kazna	Može imati smisao — sjedinjenje s Kristovim patnjama	Samo zlo	Samo nesreća	1	Rim 8,28 i Isusov križ daju smisao patnji.
67	2	Kršćanin i mediji:	Izbjegavati	Kritički konzumirati i koristiti za dobro	Samo koristiti	Samo ignorirati	1	Medijska pismenost — istina, odgovornost.
68	2	Fake news i vjera:	Nema veze	Kršćanin traži istinu i ne širi laži	Samo za politiku	Samo za novianre	1	Iv 8,32 — 'Istina će vas osloboditi.'
69	1	Kršćanstvo i ekologija:	Nepovezani	Čuvanje stvorenog svijeta je duhovna i moralna dužnost	Samo za aktiviste	Samo za političare	1	Laudato si' — 'Brate sunce, sestro mjesece.'
70	1	Klimatske promjene prema Crkvi:	Nebitne	Moralni izazov koji zahtijeva odgovornost	Samo za znanstvenike	Samo za političare	1	Integralna ekología — briga za ljude i planet.
71	2	Obitelj kao 'kućna Crkva':	Samo fraza	Prva zajednica vjere — u obitelji započinje vjera	Samo za vjernike	Samo za roditelje	1	Amoris laetitia — papa Franjo.
72	2	Odgoj u vjeri uključuje:	Samo teoriju	Svjedočanstvo, molitvu, sakramente i život po Evanđelju	Samo školu	Samo crkvu	1	Roditelji su prvi katehete.
73	1	Adolescencija i vjera:	Nema veze	Vrijeme preispitivanja i produbljavanja vjere	Samo kriza	Samo napuštanje	1	Vjera raste i sazrijeva.
74	1	Bullyingl (nasilje vršnjaka) je:	Normalno	Neprihvatljivo — kršćanin staje u zaštitu slabijima	Samo za školu	Samo za učitelje	1	Ljubav prema bližnjemu = zaštita od nasilji.
75	2	Duhovni život uključuje:	Samo molitvu	Molitvu, sakramente, lectio divinu, dobra djela, zajednicu	Samo misu	Samo ispovijed	1	Cjeloviti rast u vjeri.
76	2	Razlučivanje (diskernment) znači:	Samo odlučivanje	Traženje Božje volje u životnim odlukama	Samo razmišljanje	Samo molitva	1	Sv. Ignacije — pravila razlučivanja duhova.
77	1	Vokacija (zvanje) znači:	Samo posao	Božji poziv za specifičan put u životu	Samo za svećenike	Samo za redovnike	1	Svećeničko, redovničko, bračno, laičko zvanje.
78	1	Kršćanski volonterizam:	Samo za ocjene	Služenje drugima iz ljubavi — nasljedovanje Isusa	Samo za školu	Samo za starije	1	'Što god učiniste jednomu od ove moje najmanje braće...' (Mt 25,40).
79	2	Teologija oslobođenja:	Samo politika	Pokret u Lat. Americi — naglasak na pravdi za siromašne	Samo komunizam	Samo revolucija	1	Gustavo Gutiérrez — opcija za siromašne.
80	2	Dorothy Day je bila:	Samo novinarka	Američka katolkinja — aktivistica za socijalnu pravdu	Samo redovnica	Samo političarka	1	Catholic Worker Movement — služenje beskućnicima.
81	1	Crkva u Hrvatskoj ima:	Samo jednu biskupiju	Više biskupija organiziranih u nadbiskupije i metropolije	Samo Zagreb	Samo Split	1	Zagrebačka, Splitsko-makarska, Đakovačko-osijebka...
82	1	Glagoljsko pismo u Hrvatskoj:	Samo za učenje	Povezano s rani kršćanstvom u Hrvata — Ćiril i Metod	Samo za antiku	Samo za kulturu	1	Glagoljica — liturgija na slavenskom jeziku.
83	2	Sveti Ćiril i Metod:	Samo misionari	Slavenski apostoli — stvorili glagoljicu za širenje Evanđelja	Samo prevoditelji	Samo svećenici	1	Zaštitnici Europe — 14. veljače.
84	2	Kršćanstvo i umjetnost:	Nepovezani	Vjera je inspirirala neka od najvriranijih umjetničkih djela	Samo u srednjem vijeku	Samo u crkvi	1	Sistinska kapela, Notre-Dame, Požegasanje Bach.
85	1	Michelangelovo 'Stvaranje Adama' prikazuje:	Samo čovjeka	Trenutak u kojem Bog daje život Adamu	Samo ruku	Samo Boga	1	Plafon Sixtinské kapele — Pope Julije II.
86	1	Sveta glazba u kršćanstvu:	Samo za zabavu	Uzdiže dušu k Bogu — gregorijanski koral, himne, psalmi	Samo za koncerte	Samo za djecu	1	'Tko pjeva, dvostruko se moli.'
87	2	Kršćanstvo danas u svijetu:	Nestaje	Oko 2,4 mlrd. vjernika — najraširenija religija	Samo u Europi	Samo u Americk	1	Raste u Africi i Aziji, stabilno u Americi, pada u Europi.
88	2	Sekularizacija znači:	Više vjere	Smanjivanje utjecaja religije u javnom životu	Samo za Europu	Samo za politiku	1	Izazov za Crkvu u modernom društvu.
89	1	Abrahamske religije dijele:	Ništa	Vjeru u jednoga Boga, Abrahama kao zajedničkog pretka	Samo knjigu	Samo obrede	1	Judaizam, kršćanstvo, islam — monoteizam.
90	1	Budizam je:	Monoteistička religija	Filozofsko-religijski put prosvjetljenja	Isto kao kršćanstvo	Samo u Indiji	1	Buda (6. st. pr. Kr.) — nirvana, samilost.
91	2	Hinduizam je:	Novija religija	Najstarija svjetska religija — Indija	Isto kao budizam	Samo za Indiju	1	Brahman, karma, dharma, reinkarnacija.
92	2	Kršćanski stav prema drugim religijama:	Samo mi smo u pravu	Poštujemo i tražimo dijalog uz čvrsto svjedočanstvo vlastite vjere	Ignoriramo	Samo suprotstavljamo se	1	Nostra aetate — poštovanje, dijalog, istina.
93	1	Mučenici su:	Samo žrtve	Svjedoci vjere koji su umrli za Krista	Samo iz prošlosti	Samo iz Rima	1	Martyr (grč.) = svjedok. I danas postoje mučenici.
94	1	Kršćanstvo i sport:	Nepovezani	Sportski duh — fair play, poštenje, tijelo kao Božji dar	Samo za zabavu	Samo za profesionalce	1	1 Kor 6,19 — 'Vaše tijelo je hram Duha Svetoga.'
95	2	Digitalna etika za kršćanina:	Nema pravila	Poštivanje drugih, istine i privatnosti i online	Samo offline	Samo za odrasle	1	Zlatno pravilo vrijedi i na internetu.
96	2	Kršćanski pogled na novac:	Novac je zlo	Novac je sredstvo — pohlepa je problem, ne sam novac	Novac je dobro	Novac je nevažan	1	1 Tim 6,10 — 'Korijen svih zla jest pohlepa za novcem.'
97	1	Kršćanin raste u vjeri kroz:	Samo školu	Molitvu, sakramente, Sveto pismo, zajednicu, dobra djela	Samo knjige	Samo ispovijed	1	Cjeloživotni put vjere.
98	2	Kršćanstvo i budućnost:	Samo prošlost	Vjera daje smisao i nadu za budućnost	Samo sadašnjost	Samo strah	1	Rim 8,31 — 'Ako je Bog uz nas, tko je proti nama?'
99	1	Svako dobro djelo je:	Samo obveza	Odraz Božje ljubavi u našem djelovanju	Samo za nagradu	Samo za pokazivanje	1	Mt 5,16 — 'Neka vaša svjetlost sjaji pred ljudima.'
100	2	Vjeronauk u 7. razredu uči nas:	Samo činjenice	Dublje razumjeti vjeru, Crkvu, kreposti i život kršćanina	Samo pravila	Samo povijest	1	Vjera sazrijeva i postaje osobna!
