ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
19	1	Formula za dušičnu kiselinu je:	HNO3	HNO2	N2O5	NH3	0	Jaka oksidirajuća kiselina.
20	1	Koji metal NE reagira s razrijeđenom kiselinom?	Cink	Željezo	Zlato	Magnezij	2	Zlato je plemeniti metal, ne reagira.
21	1	Formula za kalcijev hidroksid (gašeno vapno) je:	CaO	CaCl2	CaCO3	Ca(OH)2	3	Koristi se u građevinarstvu.
22	1	Kiseli kiše nastaju zbog:	Previše sunca	Emisije SO2 i NOx u atmosferu	Previše vodene pare	Emisije O2	1	Oksidi sumpora i dušika reagiraju s vodom u oblacima.
23	1	Elektroliti su tvari koje:	Ne vode struju	U otopinama vode provode struju (disociraju na ione)	Samo tvore kristale	Samo isparavaju	1	Soli, kiseline i baze su elektroliti.
24	1	Neelektroliti su tvari koje:	Provode struju	Ne provode struju u otopinama (šećer, alkohol)	Samo metali	Samo plinovi	1	Ne disociraju na ione.
25	1	Redoks reakcija uključuje:	Samo prijelaz protona	Samo neutralizaciju	Prijenos elektrona (oksidacija + redukcija)	Samo toplinsku promjenu	2	Jedna tvar gubi elektrone (oksidira), druga prima (reducira).
26	2	Organska kemija proučava spojeve koji sadrže:	Samo kisik	Samo metale	Ugljik	Samo dušik	2	Ugljik je osnova organskih molekula.
27	2	Najjednostavniji ugljikovodik (alkan) je:	Etan (C2H6)	Butan (C4H10)	Propan (C3H8)	Metan (CH4)	3	Jedan atom ugljika i četiri vodika.
28	2	Opća formula alkana je:	CnH2n	CnH2n-2	CnH2n+2	CnHn	2	Npr. metan CH4 (n=1): C1H(2*1+2) = CH4.
29	2	Etan ima formulu:	CH4	C3H8	C2H4	C2H6	3	Dva ugljika, šest vodika.
30	2	Propan ima formulu:	C3H6	C3H8	C4H10	C2H6	1	Tri ugljika, osam vodika.
31	2	Butan ima formulu:	C4H10	C4H8	C3H8	C5H12	0	Četiri ugljika, deset vodika.
32	2	Alkeni imaju:	Samo jednostruke veze	Dvostruku vezu C=C	Trostruku vezu	Samo prstenove	1	Nezasićeni ugljikovodici s jednom dvostrukom vezom.
33	2	Najjednostavniji alken je:	Metan	Etan	Etilen (eten, C2H4)	Propan	2	C2H4 — dva ugljika s dvostrukom vezom.
34	2	Opća formula alkena je:	CnH2n+2	CnH2n	CnH2n-2	CnHn+1	1	Dva vodika manje od alkana s istim n.
35	2	Alkini imaju:	Jednostruku vezu	Dvostruku vezu	Trostruku vezu C≡C	Samo prstenove	2	Najjednostavniji je ethin (acetilen, C2H2).
36	2	Acetilen (etin) ima formulu:	C2H6	C2H4	CH4	C2H2	3	Trostruka veza između dva ugljika.
37	2	Potpuno sagorijevanje metana: CH4 + 2O2 → ?	CO + 2H2O	C + 2H2O	CO2 + 2H2O	CH3OH + O2	2	Ugljikov dioksid i voda.
38	2	Metanol (metilni alkohol) ima formulu:	C2H5OH	CH3OH	C3H7OH	CH4O2	1	Najjednostavniji alkohol, otrovan!
39	2	Etanol (etilni alkohol) ima formulu:	CH3OH	C3H7OH	C2H5OH	C4H9OH	2	Alkohol u pićima, nastaje vrenjem.
40	2	Funkcionalna skupina alkohola je:	-COOH	-NH2	-CHO	-OH (hidroksilna skupina)	3	Hidroksilna grupa daje alkoholima svojstva.
41	2	Octena kiselina ima formulu:	HCl	CH3COOH	HCOOH	H2CO3	1	Organska kiselina, glavni dio octa.
42	2	Funkcionalna skupina organskih kiselina je:	-OH	-NH2	-COOH (karboksilna)	-CHO	2	Karboksilna grupa daje kiselost.
43	2	Esteri nastaju reakcijom:	Dva metala	Alkohola i organske kiseline	Samo s vodom	Samo zagrijavanjem	1	Esterifikacija daje ester + vodu.
44	2	Esteri su odgovorni za:	Boju metala	Ugodan miris voća	Kiselost octa	Tvrdoću kamena	1	Npr. etil-acetat (miris banana).
45	2	Ugljikohidrati su:	Samo masti	Samo proteini	Molekule C, H i O (šećeri, škrob, celuloza)	Samo vitamini	2	Izvor energije za organizam.
46	2	Glukoza (grožđani šećer) ima formulu:	C12H22O11	C6H12O6	C2H5OH	CH3COOH	1	Monosaharid — osnovni šećer.
47	2	Saharoza (obični šećer) ima formulu:	C6H12O6	C12H22O11	C6H10O5	(C6H10O5)n	1	Disaharid — glukoza + fruktoza.
48	2	Škrob je:	Monosaharid	Disaharid	Polisaharid	Lipid	2	Dugačak lanac glukoza — biljni polisaharid.
49	2	Celuloza se nalazi u:	Mesu	Staničnim stijenkama biljaka	Krvi	Kostima	1	Glavna strukturna tvar drveća.
50	2	Masti (lipidi) su esteri:	Šećera i vode	Glicerola i masnih kiselina	Aminokiselina	Metala i kiselina	1	Tri masne kiseline vezane na glicerol.
51	2	Proteini (bjelančevine) su građeni od:	Masnih kiselina	Monosaharida	Aminokiselina	Nukleotida	2	20 različitih aminokiselina gradi proteine.
52	2	DNA je:	Ugljikohidrat	Lipid	Nukleinska kiselina	Protein	2	Nosi genetsku informaciju.
53	2	Polimeri su:	Mali molekuli	Dugolančane molekule od ponavljajućih jedinica (monomera)	Samo metali	Samo soli	1	Npr. PET, PVC, polietilen.
54	2	Plastika je primjer:	Metala	Minerala	Sintetskog polimera	Prirodnog elementa	2	Proizvedena kemijskom polimerizacijom.
55	2	Kaučuk (guma) je:	Metal	Keramika	Prirodni polimer	Anorganski spoj	2	Dolazi iz biljke kaukovka.
56	1	Formula za fosfatnu kiselinu je:	H3PO4	H2SO4	HPO3	H2PO4	0	Triprotonska kiselina.
57	1	Oksidacija znači:	Primanje elektrona	Gubitak elektrona	Gubitak protona	Primanje neutrona	1	Tvar koja oksidira gubi elektrone.
58	1	Redukcija znači:	Gubitak elektrona	Primanje elektrona	Gubitak protona	Gubitak neutrona	1	Tvar koja se reducira prima elektrone.
59	1	Oksidacijski broj atoma u elementarnom stanju je:	1	-1	0	2	2	Npr. O2, Fe, Cu u elementarnom obliku imaju oks. broj 0.
60	1	Oksidacijski broj vodika u spojevima je najčešće:	-1	0	2	+1	3	Iznimka je u metalnim hidridima (-1).
61	1	Oksidacijski broj kisika u spojevima je najčešće:	+2	-2	0	-1	1	Iznimka u peroksidima (-1).
62	1	Valencija (oksidacijski broj) natrija u NaCl je:	-1	+2	0	+1	3	Natrij gubi 1 elektron.
63	1	Valentnost klora u NaCl je:	+1	0	-1	+2	2	Klor prima 1 elektron.
64	1	Koliko atoma ima u jednoj molekuli sumporovodika (H2S)?	2	3	4	1	1	2 H + 1 S = 3 atoma.
65	2	Benzen (C6H6) je:	Alkan	Alken	Aromatski ugljikovodik	Alkohol	2	Šest ugljika u prstenu s naizmjeničnim vezama.
66	2	Formaldehid (metanal) ima formulu:	CH3OH	CH3CHO	HCOOH	HCHO	3	Najjednostavniji aldehid.
67	2	Funkcionalna skupina aldehida je:	-COOH	-OH	-CHO	-NH2	2	Aldehidna grupa na kraju lanca.
68	2	Funkcionalna skupina ketona je:	-OH	-CHO	C=O (karbonilna, unutar lanca)	-COOH	2	Karbonilna grupa unutar ugljikova lanca.
69	2	Aceton (propanon) ima formulu:	CH3COCH3	CH3CHO	CH3COOH	C2H5OH	0	Najjednostavniji keton, otapa lak za nokte.
70	2	Fotosinteza se može sažeti kao:	C6H12O6 → 6CO2 + 6H2O	6CO2 + 6H2O → C6H12O6 + 6O2	CO2 → C + O2	H2O → H2 + O	1	Biljke koriste CO2, vodu i sunčevu svjetlost.
71	2	Stanično disanje je suprotan proces od:	Elektrolize	Destilacije	Fotosinteze	Sublimacije	2	Razgradnja glukoze uz kisik oslobađa energiju.
72	2	Vrenje (fermentacija) glukoze bez kisika daje:	CO2 i H2O	Etanol i CO2	Ocetnu kiselinu	Metan	1	Anaerobni proces — osnova proizvodnje vina i piva.
73	1	Korozija željeza (hrđanje) je:	Fizička promjena	Endotermna reakcija	Oksidacija željeza	Redukcija željeza	2	Fe reagira s O2 i H2O te nastaje Fe2O3 (hrđa).
74	1	Antikorozivna zaštita uključuje:	Polijevanje vodom	Galvaniziranje (cinčanje), lakiranje	Zagrijavanje	Ništa, hrđa je korisna	1	Zaštitni sloj sprječava kontakt s vlagom i kisikom.
75	2	PET boca je napravljena od:	Stakla	Polietilen-tereftalata	Aluminija	Papira	1	Sintetski polimer za ambalažu.
76	2	Recikliranje plastike je važno jer:	Plastika je jestiva	Plastika se ne razgrađuje stotinama godina	Plastika je metal	Plastika je tekuća	1	Smanjuje onečišćenje okoliša.
77	1	Talog u reakciji se označava simbolom:	(g)	(l)	(aq)	↓ (strelica prema dolje)	3	Strelica prema dolje označava netopivi talog.
78	1	Plin nastao u reakciji označava se:	↓	↑ (strelica prema gore)	(s)	(aq)	1	Strelica prema gore označava oslobađanje plina.
79	1	Izjednačena jednadžba: 2H2 + O2 → ?	H2O	2H2O	H2O2	4HO	1	Dva mola vode nastaju iz dva mola vodika i jednog mola kisika.
80	1	Koji plin se koristi za dezinfekciju vode?	Kisik	Vodik	Klor	Dušik	2	Mala količina klora ubija bakterije.
81	2	Mravlja kiselina (metanska kiselina) ima formulu:	CH3COOH	HCOOH	C2H5OH	HCl	1	Najjednostavnija organska kiselina.
82	2	Izomeri su spojevi koji:	Imaju istu formulu ali različitu strukturu	Su potpuno različiti	Imaju istu strukturu	Su samo metali	0	Npr. butan i izobutan (C4H10).
83	2	Zasićeni ugljikohidrati imaju:	Dvostruke veze	Samo prstenove	Samo jednostruke veze	Trostruke veze	2	Alkani su zasićeni — sve veze između C su jednostruke.
84	2	Nezasićeni ugljikohidrati imaju:	Samo jednostruke veze	Barem jednu dvostruku ili trostruku vezu	Samo ionske veze	Nikoliko veza	1	Alkeni i alkini su nezasićeni.
85	1	Topivost tvari obično raste s:	Smanjenjem temperature	Smanjenjem tlaka	Povećanjem temperature	Ne ovisi o temperaturi	2	Većina čvrstih tvari topivija je u toplijoj vodi.
86	1	Koliko grama čiste tvari ima u 200 g 10% otopine?	10 g	20 g	100 g	200 g	1	200 * 10 / 100 = 20 g.
87	2	Vitamini su:	Samo ugljikohidrati	Organski spojevi potrebni u malim količinama	Samo masti	Minerali	1	Esencijalni za zdravlje, ali u malim dozama.
88	2	Enzimi su:	Anorganski katalizatori	Biološki katalizatori (proteini)	Samo vitamini	Samo hormoni	1	Ubrzavaju biokemijske reakcije u organizmu.
89	1	Elektrokemijski niz aktivnosti metala služi za:	Određivanje boje metala	Predviđanje koji metal reagira s kiselinom	Mjerenje temperature	Razvrstavanje po masi	1	Aktivniji metali istiskuju manje aktivne iz otopina.
90	1	Nemetalnih oksida otopljenih u vodi daju:	Baze	Soli	Kiseline	Metale	2	Npr. CO2 + H2O → H2CO3 (ugljična kiselina).
91	1	Metalnih oksida otopljenih u vodi daju:	Kiseline	Baze	Plinove	Soli	1	Npr. Na2O + H2O → 2NaOH.
92	2	Pentan ima formulu:	C5H12	C5H10	C6H14	C4H10	0	Pet ugljika, dvanaest vodika.
93	2	Nafta je smjesa:	Samo jednog spoja	Ugljikovodika različitih duljina lanaca	Samo vode i soli	Samo minerala	1	Frakcionom destilacijom se razdvaja.
94	2	Prirodni plin se većinom sastoji od:	Propana	Etana	Metana	Butana	2	CH4 je glavna komponenta.
95	1	pH limunove kiseline je otprilike:	2-3	7	10	14	0	Kisela hrana ima nizak pH.
96	1	Soda bikarbona (NaHCO3) je:	Jaka kiselina	Slaba baza	Neutralna tvar	Jak element	1	Blago bazična, koristi se za pečenje i kao antacid.
97	2	Aminokiseline se međusobno vežu:	Ionskim vezama	Van der Waalsovim silama	Peptidnim vezama	Metalnim vezama	2	Peptidna veza spaja amino i karboksilnu grupu.
98	2	Denaturacija proteina znači:	Pojačanje proteina	Gubitak prostorne strukture i funkcije	Stvaranje novih proteina	Umetanje aminokiselina	1	Uzrokovana toplinom ili kiselinom (npr. kuhanje jaja).
99	1	Zašto se sumporna kiselina dodaje pažljivo u vodu, a ne obrnuto?	Jer je teška	Jer je bijela	Jer reakcija s vodom jako grije pa može prskati	Jer je plinovita	2	Kiselina u vodu — nikada obrnuto!
100	2	Kemija 8. razreda pomaže razumjeti:	Samo laboratorij	Samo formule	Svijet oko nas — od hrane do lijekova i materijala	Samo boje	2	Kemija je svuda — u kuhinji, medicini i industriji!
