ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
18	2	Apostoli su bili:	5 Isusovih učenika	12 Isusovih odabranih učenika	20 učenika	Samo 3 učenika	1	Petar, Andrija, Jakov, Ivan...
19	2	Sveti Petar je:	Samo apostol	Prvi papa — 'Ti si Petar, stijena'	Samo svjedok	Samo prijatelj	1	Mt 16,18 — na njemu je sagrađena Crkva.
20	2	Sveti Pavao je:	Jedan od 12 apostola	Apostol naroda — širio kršćanstvo među poganima	Samo svećenik	Samo prorok	1	Obraćenje na putu u Damask.
21	1	Abraham je:	Samo kralj	Otac vjere — Bog mu obećao veliko potomstvo	Samo prorok	Samo svećenik	1	Postanak 12 — 'Učinit ću od tebe velik narod.'
22	1	Mojsije je:	Samo svećenik	Vodio Izraelce iz egipatskog ropstva	Samo kralj	Samo prorok	1	Izlazak — prolaz kroz Crveno more.
23	1	David je bio:	Samo pastir	Izraelski kralj koji je pobijedio Golijata	Samo prorok	Samo svećenik	1	Psalmist i predak Isusov.
24	2	Prispodobi/parabole su:	Samo priče	Isusove poučne priče s duhovnom porukom	Samo bajke	Samo legende	1	Milosrdni Samarijanac, Rasipni sin.
25	2	Prispodoba o milosrdnom Samarijancu uči:	Samo o putovanju	Da je bližnji svaki čovjek kojem trebamo pomoći	Samo o Samariji	Samo o svećenicima	1	Lk 10,25-37 — ljubav prema bližnjemu.
26	2	Prispodoba o rasipnom sinu govori o:	Samo novcu	Božjem milosrđu i oproštenju	Samo o radu	Samo o bratu	1	Lk 15,11-32 — Otac uvijek čeka i prašta.
27	1	Crkva (zajednica) je:	Samo zgrada	Zajednica vjernika okupljenih oko Isusa Krista	Samo institucija	Samo organizacija	1	Ekklesia — sazvana zajednica.
28	1	Papa je:	Samo biskup	Glava Katoličke crkve, nasljednik sv. Petra	Samo svećenik	Samo voditelj	1	Trenutni papa: Franjo (od 2013.).
29	1	Advent je:	Vrijeme nakon Uskrsa	Vrijeme pripreme za Božić (4 tjedna)	Samo za odrasle	Samo jedan dan	1	Adventski vijenac — 4 svijeće.
30	2	Korizma je:	Blagdan	40 dana pripreme za Uskrs (od Pepelnice do Uskrsa)	Samo tjedan	Samo mjesec	1	Post, molitva, dobra djela.
31	1	Zapovijed ljubavi glasi:	Samo ljubi sebe	Ljubi Boga i bližnjega svoga kao sebe samoga	Samo ljubi Boga	Samo ne čini zlo	1	Mt 22,37-39 — najveća zapovijed.
32	2	Blago onima koji su ponizna srca jer:	Će biti bogati	Njihovo je Kraljevstvo nebesko	Će biti slavni	Će biti jaki	1	Blaženstva — Mt 5,3-12.
33	2	Blaženstva su:	Samo 3	Isusove upute za blažen/sretan život (8 blaženstva)	Samo 2	Samo 1	1	Govor na Gori — Mt 5.
34	1	Isus je kršten u:	Sredozemnom moru	Rijeci Jordan (Ivan Krstitelj ga je krstio)	Galilejskom jezeru	Mrtvom moru	1	Mt 3,13-17 — golubica i glas s neba.
35	1	Sveta Marija je:	Samo žena	Majka Isusova — Bogorodica	Samo sestra	Samo prijateljica	1	Djevica Marija — zaštitnica kršćana.
36	1	Sveti Nikola je:	Samo lik iz priče	Biskup iz Mire — zaštitnik djece (6. prosinca)	Samo Djed Mraz	Samo iz legende	1	Pokloni za djecu — tradicija darivanja.
37	2	Duhovi (Pedesetnica) slave:	Isusovo rođenje	Silazak Duha Svetoga na apostole	Isusov ulazak u Jeruzalem	Isusovo krštenje	1	Dj 2 — početak Crkve.
38	2	Isusovo uzašašće znači:	Da se vratio u Betlehem	Da je uzašao na nebo 40 dana nakon Uskrsa	Da je otišao u pustinju	Da se skrio	1	Dj 1,9-11 — sjedi o desnu Ocu.
39	1	Dobrota kao vrlina znači:	Samo slabost	Činiti dobro drugima iz ljubavi	Samo biti tih	Samo slušati	1	Isus je primjer dobrote.
40	1	Molitva je:	Samo recitiranje	Razgovor s Bogom — zahvala, moljba, hvala	Samo traženje	Samo učenje	1	Osobna i zajednička molitva.
41	2	Isus je imao:	5 učenika	12 apostola	3 apostola	20 apostola	1	Dvanaestorica — odabrani za posebu misiju.
42	2	Sveti Josip je:	Samo stolar	Zaručnik Marijin, Isusov zakonski otac	Samo radnik	Samo prolaznik	1	Zaštitnik radnika — 19. ožujka.
43	1	Križ je za kršćane:	Samo ukrasi	Simbol Isusove žrtve i spasenja	Samo znak	Samo tradicija	1	Križ = ljubav, nada, spasenje.
44	1	Nedjelja je za kršćane:	Običan dan	Dan Gospodnji — dan odmora i mise	Dan za posao	Dan za igru	1	3. zapovijed: Svetkuj dan Gospodnji.
45	2	Sveta misa se dijeli na:	3 dijela	Liturgiju Riječi i Liturgiju euharistije	Samo čitanja	Samo molitve	1	Riječ + Euharistija = cjelina mise.
46	2	Evanđelje znači:	Povijesna knjiga	Radosna vijest (o Isusu Kristu)	Zakon	Proroštvo	1	Euanggelion (grč.) = dobra/radosna vijest.
47	1	Psalm je:	Samo priča	Molitvena pjesma iz Starog zavjeta	Samo zakon	Samo pismo	1	150 psalama — Psalam 23: Gospodin je pastir moj.
48	1	Zlatno pravilo glasi:	Budi bogat	Čini drugima ono što želiš da drugi čine tebi	Budi jak	Budi pametan	1	Mt 7,12 — temelj etike.
49	2	Isusovo čudo pretvaranja vode u vino:	U Jeruzalemu	Na svadbi u Kani Galilejskoj	Na moru	U hramu	1	Iv 2,1-11 — prvo Isusovo čudo.
50	2	Isus je nahranio 5000 ljudi sa:	Mnogo kruha	5 kruhova i 2 ribe	10 kruhova	Samo ribom	1	Mt 14,13-21 — čudo umnoženja.
51	1	Vjeronauk nas uči:	Samo činjenice	O Bogu, vjeri, ljubavi i smislu života	Samo pravila	Samo povijesti	1	Rast u vjeri, znanju i ljubavi.
52	1	Savjest je:	Samo strah	Unutarnji glas koji nam pomaže razlikovati dobro od zla	Samo navika	Samo pravilo	1	Bog je upisao zakon u naša srca.
53	2	Oproštenje je:	Slabost	Snaga — Isus oprašta i uči nas oprostiti	Samo za slabe	Nepotrebno	1	'Oprostite i bit će vam oprošteno' (Lk 6,37).
54	2	Volontiranje je:	Samo za odrasle	Besplatna pomoć drugima iz ljubavi	Samo za bogate	Samo za svećenike	1	Isus: 'Što god učiniste jednomu od ove moje najmanje braće, meni učiniste' (Mt 25,40).
55	1	Stvoreni svijet trebamo:	Iskoristiti	Čuvati i biti odgovorni skrbnici (ekologija)	Uništavati	Ignorirati	1	Laudato si' — papa Franjo.
56	1	Svaki čovjek je:	Samo biće	Stvoren na sliku Božju — dostojanstven i jedinstven	Samo tijelo	Samo um	1	Post 1,27 — Imago Dei.
57	2	Dijeljenje s drugima je:	Gubitak	Radost i blagoslov	Samo za bogate	Nepotrebno	1	'Blago je više dati nego primiti' (Dj 20,35).
58	2	Obitelj je prema vjeri:	Samo institucija	Temeljna zajednica ljubavi i odgoja	Samo skupina	Samo tradicija	1	Sveta obitelj: Isus, Marija, Josip.
59	1	Anđeli su prema vjeri:	Samo iz priča	Božji glasnici i zaštitnici	Samo simboli	Samo u molitvama	1	Gabriel, Mihael, Rafael.
60	1	Nade se prema vjeri:	Samo želja	Pouzdanje u Božje obećanje i dobro	Samo san	Samo iluzija	1	Vjera, nada, ljubav — tri kreposti.
61	2	Mir i pravednost su:	Nevažni	Središnje kršćanske vrednote	Samo za politiku	Samo za odrasle	1	'Blago mirotvorcima' (Mt 5,9).
62	2	Isus je rekao: 'Ja sam:'	Samo čovjek	Put, istina i život (Iv 14,6)	Samo učitelj	Samo prorok	1	Jedna od Isusovih ključnih izjava.
63	1	Noa i potop govori o:	Samo o vodi	Božjoj pravdi i milosrđu — novi početak	Samo o brodu	Samo o životinjama	1	Post 6-9 — duga kao znak saveza.
64	1	Duga je u Bibliji znak:	Samo lijepe vremena	Saveza između Boga i čovječanstva	Samo boja	Samo kiše	1	Post 9,13 — 'Dugu svoju stavljam u oblak.'
65	2	Isus je rekao: 'Pustite dječicu k meni jer:'	Su poslušna	Njihovo je Kraljevstvo nebesko	Su tiha	Su slaba	1	Mt 19,14 — Isus voli djecu.
66	2	Vjera u svakodnevnom životu znači:	Samo u crkvi	Živjeti po Božjim zapovijedima svaki dan	Samo nedjeljom	Samo na blagdane	1	Vjera se živi u djelima ljubavi.
67	1	Prijateljstvo je prema vjeri:	Samo za korist	Dar od Boga — ljubav, povjerenje, podrška	Samo zabava	Samo igra	1	'Veće ljubavi nitko nema od ove: da tko život položi za prijatelje' (Iv 15,13).
68	1	Isusovo djetinjstvo proveo je u:	Betlehemu	Nazaretu	Jeruzalemu	Kafarnaumu	1	Zato se zove Isus Nazarećanin.
69	2	Što je milosrđe?	Samo sažaljenje	Suosjećajnost i spremnost pomoći onima u potrebi	Samo bogatstvo	Samo molitva	1	Bog je milosrdan — i mi budimo.
70	2	Zahvalnost Bogu izražavamo:	Nikada	Molitvom, djelima, životom u radosti	Samo riječima	Samo u crkvi	1	'U svemu zahvaljujte' (1 Sol 5,18).
71	1	Svetac ili svetica je:	Samo iz legendi	Osoba koja je živjela svetim životom po Božjoj volji	Samo s davnih vremena	Samo svećenik	1	Sveti Franjo, sveta Terezija...
72	1	Sveti Franjo Asiški poznat je po:	Bogatstvu	Siromaštvu, ljubavi prema stvorenjima i miru	Samo molitvama	Samo po crkvi	1	Zaštitnik životinja i okoliša.
73	2	Majka Terezija poznata je po:	Bogatstvu	Služenju najsiramašnijima u Calcutti	Samo u Europi	Samo u molitvi	1	Sveta Majka Terezija iz Calcutte — Nobelova nagrada za mir.
74	2	Blaženi Alojzije Stepinac bio je:	Samo političar	Hrvatski kardinal i mučenik	Samo učitelj	Samo pisac	1	Proglašen blaženim 1998.
75	1	Duša prema vjeri je:	Samo tijelo	Duhovni dio čovjeka koji živi vječno	Samo organ	Samo misao	1	Tijelo i duša = cjelovit čovjek.
76	2	Vječni život je:	Samo mit	Život s Bogom nakon smrti — obećan vjernicima	Samo na zemlji	Samo za svece	1	Iv 3,16 — 'Da svaki koji vjeruje ima život vječni.'
77	1	Isus je za sebe rekao 'Ja sam Dobri Pastir' što znači:	Samo čuvar ovaca	Da vodi, čuva i brine se za svoje vjernike	Samo farmer	Samo učitelj	1	Iv 10,11 — 'Ja sam dobri pastir.'
78	1	Potvrda (Krizma) je:	Samo običaj	Sakrament kojim kršenik prima puninu Duha Svetoga	Samo za odrasle	Samo za svećenike	1	Pomazanje krizmom — darovi Duha Svetoga.
79	2	Sedam darova Duha Svetoga uključuje:	Samo mudrost	Mudrost, razum, savjet, jakost, znanje, pobožnost, strah Božji	Samo 3 dara	Samo ljubav	1	Iz 11,2-3 — darovi za život u vjeri.
80	2	Kršćanstvo je:	Samo europska religija	Najveća svjetska religija s 2+ milijarde vjernika	Samo za odrasle	Novija religija	1	Katoličanstvo, pravoslavlje, protestantizam.
81	1	Isus je govorio:	Latinski	Aramejski	Grčkim	Hebrejski	1	Aramejski — narodni jezik Palestne u Isusovo doba.
82	1	Betlehem je bio u:	Rimu	Judeji (današnja Palestina)	Egiptu	Grčkoj	1	Grad Davidov — proročanstvo ispunjeno.
83	2	Apostolsko vjerovanje je:	Samo molitva	Sažetak kršćanskih vjerovanja (Credo)	Samo tradicija	Samo povijest	1	Vjerujem u Boga Oca svemogućega...
84	2	Isus je raspet na:	Brdu Sinaj	Golgoti (Kalvariji)	Maslinskon gori	Brdu Tabor	1	Golgota = 'lubanjsko mjesto' — izvan Jeruzalema.
85	1	Advent ima:	2 tjedna	4 tjedna	6 tjedana	1 tjedan	1	4 adventske nedjelje — priprava za Božić.
86	1	Sveta tri kralja donijeli su:	Samo darove	Zlato, tamjan i smirnu	Samo hranu	Samo odjeću	1	Bogojavljenje — 6. siječnja.
87	2	Posljednja večera bila je:	Običan obrok	Isusov oproštajni obrok s apostolima (ustanovljenje euharistije)	Samo gozba	Samo slavlje	1	Veliki četvrtak.
88	2	Veliki petak obilježava:	Isusovo rođenje	Isusovu muku i smrt na križu	Isusovo uskrsnuće	Isusovo krštenje	1	Dan žalosti i sjećanja na Isusovu žrtvu.
89	1	Poštuj oca i majku je:	Samo savjet	4. (ili 5.) Božja zapovijed	Samo tradicija	Samo pravilo	1	Poštivanje roditelja — temelj obitelji.
90	1	Ne ukradni je:	Samo savjet	7. (ili 8.) Božja zapovijed	Samo zakon	Samo pravilo	1	Poštivanje tuđeg vlasništva.
91	2	Krunica (Rozarij) je:	Samo nakit	Molitva posvećena Blaženij Djevici Mariji	Samo ukrasi	Samo tradicija	1	Zdravo Marijo — razmatranje otajstava.
92	2	Zdravo Marijo počinje:	Oče naš	Zdravo Marijo, milosti puna, Gospodin s tobom	Vjerujem	Slava Ocu	1	Anđelov pozdrav Mariji (Lk 1,28).
93	1	Svetkovina Svih svetih je:	25. prosinca	1. studenoga	15. kolovoza	6. siječnja	1	Sjećanje na sve poznate i nepoznate svece.
94	1	Sveti Martin je zaštitnik:	Ribara	Vojnika i siromaha — podijelio plašt	Učitelja	Studenata	1	11. studenoga — Matin.
95	2	Ekumenizam je:	Samo za katolike	Nastojanje za jedinstvom svih kršćanskih zajednica	Samo za pravoslavne	Samo za protestante	1	Dijalog među kršćanima raznih konfesija.
96	2	Međureligijski dijalog:	Nepotreban	Razgovor i suradnja među vjerama za mir	Samo za teologe	Samo za političare	1	Kršćanstvo, islam, judaizam — Abarhhamske religije.
97	1	Svako ljudsko biće zaslužuje:	Samo ako je dobro	Poštivanje i dostojanstvo jer je stvoreno na sliku Božju	Samo ako je bogato	Samo ako je pametno	1	Ljudska prava i kršćanska antropologija.
98	2	Zajednički život u raznolikosti:	Nemoguć	Bogatstvo — poštivanje razlika, suradnja, ljubav	Samo za odrasle	Nepotrebno	1	Različiti, ali jednako vrijedni pred Bogom.
99	1	Vjera i razum:	Suprotni	Mogu ići zajedno — vjera ne isključuje znanje	Samo vjera	Samo razum	1	Fides et ratio — papa Ivan Pavao II.
100	2	Vjeronauk u 5. razredu uči nas:	Samo činjenice	Razumjeti Božju ljubav i živjeti u zajedništvu	Samo pravila	Samo povijest	1	Vjera je put radosti i smisla!
